UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rusia en Uruguay,@EmbRusUruguay,2022-01-09T19:28:25.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Jan 9, 2022
Organización gubernamental de Rusia","El 9 de enero el artículo del Embajador Andrey Budaev sobre la Declaración conjunta de los líderes de Rusia, China, Francia, Reino Unido y EE.UU. sobre la prevención de una guerra nuclear y carrera armamentista fue publicado en el periódico uruguayo 
@diariolaruy",,3,13,29,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1480260188733157381
Rusia en Uruguay,@EmbRusUruguay,2022-01-07T17:11:11.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Jan 7, 2022
Organización gubernamental de Rusia","El 3 de enero los líderes de los cinco Estados poseedores de armas nucleares - China, Rusia, Estados Unidos, Gran Bretaña y Francia - emitieron la ""Declaración conjunta sobre la prevención de la guerra nuclear y la carrera armamentística"".",,,1,1,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1479500877874532364
Rusia en Uruguay,@EmbRusUruguay,2022-01-25T16:37:53.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Jan 25, 2022
Organización gubernamental de Rusia","Hoy el Embajador de Rusia Andrey Budaev se reunió con el Diputado del Frente Amplio, presidente de la Delegación Uruguaya en el PARLASUR Daniel Caggiani. Durante la conversación se trataron varias cuestiones de la cooperación interparlamentaria y otros temas de interés mutuo ",,1,15,44,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1486015477952434179
Rusia en Uruguay,@EmbRusUruguay,2022-01-21T16:17:35.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Jan 21, 2022
Organización gubernamental de Rusia",El 20 de enero en la Embajada se celebró la reunión del Embajador Andrey Budaev con la dirección de la empresa jurídica “Ferrere Abogados” que representa los intereses de nuestra misión diplomática en varios asuntos legales,,,,7,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1484560817643302912
Rusia en Uruguay,@EmbRusUruguay,2022-01-21T16:12:22.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Jan 21, 2022
Organización gubernamental de Rusia","Por iniciativa del Consejo Coordinador de Organizaciones de Compatriotas Rusos en Uruguay el 13 de enero se celebró una reunión en línea de los representantes de la diáspora rusa y los funcionarios de la Embajada con motivo del Viejo Año Nuevo 
https://bit.ly/3fJab9l",🎄 🎆 👉,,,5,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1484559503999881229
Rusia en Uruguay,@EmbRusUruguay,2022-01-28T17:11:02.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Jan 28, 2022
Organización gubernamental de Rusia","El Embajador de Rusia Andrey Budaev preparó el artículo titulado “Suposiciones y realidades sobre la situación en torno a Ucrania” que fue publicado hoy en el periódico 
@diariolaruy
 
 http://bit.ly/340fQWr",👉,5,22,39,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1487110983214682117
Rusia en Uruguay,@EmbRusUruguay,2022-02-03T20:38:45.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Feb 3, 2022
Organización gubernamental de Rusia",Hoy el Embajador Andrey Budaev se reunió con el Ministro de Relaciones Exteriores de Uruguay Francisco Bustillo. Durante la conversación realizada en un ambiente constructivo y amistoso se abordaron varios temas de la agenda internacional y bilateral ,,2,6,24,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1489337585390469120
Rusia en Uruguay,@EmbRusUruguay,2022-02-04T17:13:01.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Feb 4, 2022
Organización gubernamental de Rusia","La 
@spb_university
 invita a todos los interesados al encuentro informativo en español sobre los programas educativos de la Universidad para los extranjeros y ciudadanos rusos residentes en el exterior
7 de febrero 
10:00 (hora uruguaya)
https://bit.ly/3GrYAGR",🗓 🕙 👉,,,,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1489648199426002947
Rusia en Uruguay,@EmbRusUruguay,2022-02-01T16:20:13.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Feb 1, 2022
Organización gubernamental de Rusia","Para el Embajador de Rusia en Uruguay, Sr. Andrey Budaev, fue un honor poder participar en la ceremonia de Apertura de los Tribunales y asunción del Ministro Dr. John Pérez Brignani como Presidente de la Suprema Corte de Justicia",,,,,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1488547747338887174
Rusia en Uruguay,@EmbRusUruguay,2022-02-09T15:32:38.000Z,"Rusia en Uruguay
@EmbRusUruguay
·
Feb 9, 2022
Organización gubernamental de Rusia","El 7 de febrero el Embajador de Rusia Andrey Budaev se reunió con el Senador del Frente Amplio, Presidente de la Comisión de Asuntos Internacionales de la Cámara de Senadores, Miembro del Grupo de Amistad interparlamentario Uruguay-Rusia Eduardo Bonomi ",,1,3,13,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusUruguay/status/1491434875089747969
