UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-04T20:08:48.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 4, 2022
Organización gubernamental de Rusia","Os invitamos a leer la declaración conjunta de los líderes de los cinco estados poseedores de armas nucleares (Rusia, China, Gran Bretaña, Francia y EEUU) sobre la prevención de la guerra nuclear y la carrera de armamentos

https://bit.ly/3FWZewC",👇 👇 👇 🔗,9,6,28,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FISKFy4XMAEafbW?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1478458412971491328
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-14T00:03:39.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 13, 2022
Organización gubernamental de Rusia",El 13 de enero a.c. se inauguró en el Hall central de Estación Retiro de la ciudad de Buenos Aires una exposición de ganadores del Concurso Internacional Andréi Stenin,,,6,27,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJBWIo4WYAMU0PA?format=jpg&name=small', 'https://pbs.twimg.com/media/FJBWI9WWUAEfwAc?format=jpg&name=small', 'https://pbs.twimg.com/media/FJBWJVaX0AAskzr?format=jpg&name=small', 'https://pbs.twimg.com/media/FJBWJscWUAIZkgk?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1481779004432478209
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-12T23:20:59.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 12, 2022
Organización gubernamental de Rusia"," Del 13 al 23 de enero, en Buenos Aires se expondrán varias decenas de fotos sacadas por los ganadores del Concurso Internacional Andréi Stenin 2021. La exposición tendrá por escenario el Hall central de Estación Retiro, Av. Dr. José María Ramos Mejía 1402, CABA",📷,,6,25,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI8CyLJWQAMcZ0q?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1481405878557310979
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-20T12:06:37.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 20, 2022
Organización gubernamental de Rusia","SPUTNIK V DEMUESTRA UNA FUERTE PROTECCIÓN CONTRA LA VARIANTE ÓMICRON SEGÚN UN ESTUDIO COMPARATIVO INDEPENDIENTE Y ÚNICO REALIZADO POR EL INSTITUTO SPALLANZANI EN ITALIA

La nueva información del Fondo Ruso de Inversión Directa aquí

https://bit.ly/3IiZHda",💉 💉 👇 👇 👇 🔗,3,85,290,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJi1KnDXMAEwtFF?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1484135273613070336
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-17T22:54:18.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 17, 2022
Organización gubernamental de Rusia","¡Australia permitirá el ingreso de viajeros internacionales con dos dosis de #SputnikV!

https://pagina12.com.ar/395882-australia-permitira-el-ingreso-de-viajeros-internacionales-c…",👇 👇 👇,1,4,20,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJVsouwXEBAfwIN?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1483211101781127170
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-24T19:14:18.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 24, 2022
Organización gubernamental de Rusia","Los invitamos a ver el nuevo programa del Primer Canal de la televisión rusa ""The Great Game"" con el ministro de Asuntos Exteriores de la Federación de Rusia,  Serguéi Lavrov, abordando los temas actuales de las relaciones internacionales 
https://1tv.ru/-/xrjly",📺 🌏 🔗,,8,27,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ49aYCWQAMDaiB?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1485692453675941891
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-23T22:54:05.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 23, 2022
Organización gubernamental de Rusia",¡Buen Domingo desde el monasterio de la Trinidad y San Sergio en la ciudad del Sérguiev Posad! Es un importante centro espiritual de la Iglesia Ortodoxa rusa. Actualmente alberga a unos 300 monjes. En 1993 la Unescolo lo declaró Patrimonio de la Humanidad @nikolaev_ich,📸,3,13,87,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ0mIAnWUAEUa94?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1485385374620794880
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-03T20:23:43.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 3, 2022
Organización gubernamental de Rusia","El 3 de febrero el Presidente de la Federación de Rusia,  Vladimir Putin, recibió en Moscú al Presidente de la República Argentina,  Alberto Fernández. Los líderes mantuvieron negociaciones en la atmósfera constructiva y amistosa

http://en.kremlin.ru/events/president/news/67706…",🤝 👇 👇 👇 🔗,5,29,101,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKstMpJUUAEwKIx?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1489333800156995595
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-02T17:25:05.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 2, 2022
Organización gubernamental de Rusia"," El 3 de febrero, el Presidente de la Federación de Rusia, Vladimir Putin, se reunirá con el Presidente de la República Argentina, Alberto Fernández, quien estará de visita en Rusia 
https://bit.ly/3IYQKWG",🤝 🔗,11,22,92,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKm6tMVWUAIYnY8?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1488926459829882880
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-01-31T23:05:15.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Jan 31, 2022
Organización gubernamental de Rusia","El Ministro de Salud de Rusia, Mikhail Murashko, se reunió con su par de Argentina, Carla Vizzotti. 
Los interlocutores abordaron el uso de Sputnik V, la vacunación de niños y adolescentes, así como la posibilidad de ampliar la cooperación bilateral en el campo de la salud",,4,25,77,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKd1ZvxXsAEJLYU?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1488287289113415683
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-04T18:34:07.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 4, 2022
Organización gubernamental de Rusia"," ¡El 4 de febrero se celebró en #Beijing la ceremonia de apertura de los Juego Olímpicos de Invierno! 

  Los 213 atletas del equipo del Comité Olímpico Ruso ingresaron al Estadio Nacional de Beijing y  fueron recibidos muy cálidamente por los espectadores",⛷ 🏂,1,1,35,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKxdsWXWUA09qW9?format=jpg&name=small', 'https://pbs.twimg.com/media/FKxdsp1XMA44iY4?format=jpg&name=small', 'https://pbs.twimg.com/media/FKxds86XIAAvaoP?format=jpg&name=small', 'https://pbs.twimg.com/media/FKxdtMWX0AIFAou?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1489668609991495680
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-06T17:15:46.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 6, 2022
Organización gubernamental de Rusia"," El 6 de febrero, en el programa corto para mujeres en el marco del torneo de patinaje artístico por equipos en los Juegos Olímpicos de Invierno en Beijing, Kamila Valieva recibió 90.18 puntos y ganó el primer lugar, lo que le dio 10 puntos a su equipo ",❄,15,213,"1,114","['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FK7e8brXEAgDMGk?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FK7e8lrWYAIGP3f?format=jpg&name=small', 'https://pbs.twimg.com/media/FK7e8vsWYAU1h7x?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1490373664453238784
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-09T23:43:37.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 9, 2022
Organización gubernamental de Rusia"," ¡El 10 de febrero Rusia celebra el Día de Diplomático! 

 El 10 de febrero en Rusia recuerdan muchas generaciones de los diplomáticos rusos quienes hicieron un aporte inapreciable al robustecimiento de la estatalidad y soberanía rusa",🎉 🌎,1,6,38,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FLMUfiiX0AEWZH9?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1491558435791409152
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-14T20:27:07.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 14, 2022
Organización gubernamental de Rusia"," Continúa la etapa principal de la Olimpiada Internacional de la Juventud de la Universidad Financiera. Date prisa en inscribirte y hacer el examen antes del 15 de marzo.
Más información:
https://bit.ly/36dZJ8y",🎓 🔗,,1,10,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FLlXd4DXwAMcJvl?format=jpg&name=small']",https://twitter.com/EmbRusiaEnArgEs/status/1493320925709623297
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-19T14:32:56.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 19, 2022
Organización gubernamental de Rusia","Se inaugura en La Plata una exposición del Concurso de Fotoperiodismo Andréi Stenin

El público podrá apreciar varias decenas de obras de fotógrafos de España, Italia, Rusia, Francia y otros países del 22 de febrero al 7 de marzo.


https://bit.ly/3s3GBCo",👇 👇 👇 🔗,,3,28,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FL92VVKXIAMhJ7b?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1495043730985799685
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-15T18:18:59.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 15, 2022
Organización gubernamental de Rusia"," El Presidente de la Federación de #Rusia, Vladimir Putin:

""Percibimos la contención por la fuerza de Rusia como una amenaza directa e inmediata para la seguridad nacional, que los acuerdos legales basados en nuestros proyectos están llamados a eliminar""",📢,1,5,19,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FLqDunkXEAU-tjl?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1493651065731829761
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-24T21:08:24.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 24, 2022
Organización gubernamental de Rusia"," El Embajador de Rusia, Dmitry Feoktistov:
 ""#Rusia está siendo demonizada, pero al mismo tiempo nuestra posición sigue sin ser escuchada. Nos esforzamos para garantizar nuestra propia #seguridad nacional""

El texto completo del articulo en Clarín:
https://clarin.com/opinion/ucrania-cuestiones-seguridad-rusia-pueden-ignoradas_0_IJf18Z8Bbp.html…",📢 🔗,72,256,526,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FMZA0AMWYAQs4_L?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1496955190972493832
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-26T12:12:33.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 26, 2022
Organización gubernamental de Rusia",Una opinión sobre #Rusia,,158,"1,539","2,309","['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1497544253723054084/pu/img/Etstc_OWQ66_U1pa.jpg']",https://twitter.com/EmbRusiaEnArgEs/status/1497545117753909249
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-02-26T13:49:53.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 26, 2022
Organización gubernamental de Rusia","En los medios circulan imágenes que muestran un edificio residencial parcialmente destruido por un proyectil. Una fuente en el Ministerio de Defensa de #Rusia refutó las informaciones e informó de que en realidad, era un misil ucraniano
https://bit.ly/3BXjBZ7
Reuters",🔗 📸,194,"1,248","1,313","['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FMhvn66XwAomOnf?format=jpg&name=medium']",https://twitter.com/EmbRusiaEnArgEs/status/1497569610496892928
"Embajada de Rusia,AR",@EmbRusiaEnArgEs,2022-03-01T00:17:52.000Z,"Embajada de Rusia,AR
@EmbRusiaEnArgEs
·
Feb 28, 2022
Organización gubernamental de Rusia","¡Queridos compatriotas e amigos de Rusia en #Argentina!

Estamos sinceramente agradecidos a todos los que siguen apoyando a nosotros, pese a campaña masiva de propaganda lanzada contra #Rusia...
https://facebook.com/100064321016948/posts/326891112798253/…",🔗 🤝,499,526,"1,498","['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FMuSia4WYAIc1YX?format=jpg&name=900x900']",https://twitter.com/EmbRusiaEnArgEs/status/1498452423135797249
