UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rusia en España,@EmbajadaRusaES,2022-01-04T11:30:33.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 4, 2022
Organización gubernamental de Rusia"," Estimados seguidores, os invitamos a leer la Declaración conjunta de los líderes de los cinco Estados poseedores de armas nucleares (Rusia, China, Francia, Gran Bretaña y EEUU) sobre la prevención de la guerra nuclear y la carrera de armamentos.

 https://bit.ly/3EQDJft",☢,5,16,43,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FIQPl3TWUAAg4-q?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1478327988290732037
Rusia en España,@EmbajadaRusaES,2022-01-04T21:52:04.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 4, 2022
Organización gubernamental de Rusia"," Condolencias del Embajador Yuri Korchagin por el reciente fallecimiento del Sr. Pere Joan Tomás, que durante más de  años ejerció como Cónsul Honorario de la Federación de Rusia en el Principado de Andorra.",⚫ 🔟,,2,25,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FISht6wXoAELpon?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1478484399947669504
Rusia en España,@EmbajadaRusaES,2022-01-09T08:41:32.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 9, 2022
Organización gubernamental de Rusia"," Estimados seguidores les invitamos a leer el comentario de la portavoz del 
@mae_rusia
 María Zajárova “Disfunción de la defensa” sobre la situación en #Kazajistán 

 https://bit.ly/3JU0a7q",‼,,17,33,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FIpctlQWYAA0-z1?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1480097395455184896
Rusia en España,@EmbajadaRusaES,2022-01-14T11:44:04.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 14, 2022
Organización gubernamental de Rusia"," Viceministro ruso de Exteriores Alexandr #Grushko tras las conversaciones de #RusiaOTAN en Bruselas: No hay tropas rusas en Donetsk y Lugansk, pero hay tropas de la #OTAN en #Ucrania .",💬,17,151,251,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJD2dIEWYAMTjC6?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1481955271039754242
Rusia en España,@EmbajadaRusaES,2022-01-12T17:29:44.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 12, 2022
Organización gubernamental de Rusia"," ¡Felicitamos al destacado artista 
@DalmauFerrer
 con motivo de la inauguración de la Fundación ""Arte e Historia FFD""!

Confiamos en que esta institución acogerá a muchos pintores que obtendrán la fuente de inspiración inagotable para sus  en destreza y talento de Don Augusto.",🎉 🖼,2,40,279,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI6xf_hWQAAsgzC?format=jpg&name=900x900']",https://twitter.com/EmbajadaRusaES/status/1481317483458011143
Rusia en España,@EmbajadaRusaES,2022-01-14T10:59:31.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 14, 2022
Organización gubernamental de Rusia"," Jefe de 
@mae_rusia
 Serguéi Lavrov: ""Lamentamos que la propia Unión Europea  haya destruido ya hace 7,5 años todos los mecanismos, incluidos los mecanismos en el marco de los cuales se discutían aspectos prácticos para garantizar la seguridad.""",💬,2,47,70,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJDsQ7HXoAAlNpm?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1481944060348796931
Rusia en España,@EmbajadaRusaES,2022-01-11T13:21:00.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 11, 2022
Organización gubernamental de Rusia"," Las conversaciones ruso-estadounidenses sobre las garantías de seguridad no son un proceso por el bien de un proceso, lo que importa es el resultado - el portavoz del Kremlin, Dmitri Peskov.",,,6,14,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI0vrEhXEAUfonR?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1480892501368135681
Rusia en España,@EmbajadaRusaES,2022-01-15T13:05:04.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 15, 2022
Organización gubernamental de Rusia"," Artículo de nuestro Consul Honorario 
@PedroMourino
 “Por qué Rusia no es la culpable de la crisis del gas en Europa” publicado en 
@elespanolcom
 

 https://bit.ly/3tqOG5r",📰 🔥,1,16,23,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJJSlh3X0AU3U7b?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1482338042727874563
Rusia en España,@EmbajadaRusaES,2022-01-19T08:33:16.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 19, 2022
Organización gubernamental de Rusia"," ""¡Florece, nuestra amistad!"" 
Postal de amistad ruso-ucraniana, 1960
@sovietvisuals",©,37,91,201,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJc6vHfWYAIi-B7?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1483719191958106116
Rusia en España,@EmbajadaRusaES,2022-01-16T09:13:04.000Z,"Rusia en España
@EmbajadaRusaES
·
Jan 16, 2022
Organización gubernamental de Rusia"," Réplica de la Embajada de Rusia en España publicada el 16 de enero de 2021 en http://ABC.es

 https://bit.ly/3txXLtm",‼,10,46,113,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJNnFGwXsAEYodI?format=jpg&name=medium']",https://twitter.com/EmbajadaRusaES/status/1482642046280253440
