UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-07T02:45:51.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 6, 2022
Organización gubernamental de Rusia","El 2 de febrero el Embajador de Rusia en Ecuador Vladimir Sprinchan dio una entrevista a un corresponsal del periódico ecuatoriano ""El Universo"" sobre la posición de Rusia con respecto a los acontecimientos en torno a Ucrania y los problemas de la cooperación ruso-ecuatoriana.",,,4,13,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1490517131536048129
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-07T02:38:35.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 6, 2022
Organización gubernamental de Rusia","El 4 de febrero el Embajador Extraordinario y Plenipotenciario de Rusia en Ecuador, Vladimir Sprinchan, recibió la gerencia de la reconocida empresa rusa «Polisan». Acordamos trabajar juntos para concienciar a la comunidad médica ecuatoriana con una serie de medicamentos rusos.",,,8,19,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1490515302744043522
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-17T02:33:04.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 16, 2022
Organización gubernamental de Rusia","Estimados/as amigos/as 
Invitamos a todos/todas los que tengan suerte de estar en Quito el 26 o 27 de febrero a Maslenica! El evento se celebrará en la Casa de la Cultura Ecuatoriana B.Carrión (Av. 6 de Diciembre y Patria),hora: 10:00-18:00. 
Hará 
#RusiaEcuador
#Maslenica",🔥,1,3,9,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1494137796142972928
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-15T17:05:03.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 15, 2022
Organización gubernamental de Rusia","El Presidente de la Federación Internacional de Ajedrez (FIDE) y de la Fundación Skólkovo 
@advorkovich
 visitó Ecuador. Durante su estancia en Guayaquil se reunió con el Presidente 
@LassoGuillermo
 y participó en la inaguracion del proyecto «Ajedrez en tu barrio»",,1,13,32,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1493632460915200005
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-16T01:49:53.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 15, 2022
Organización gubernamental de Rusia","Señoras y señores,
Les recordamos que diario ""El Universo"" publicó la entrevista del Embajador Vladimir Sprinchan sobre la posición de Rusia respecto a los acontecimientos en torno a Ucrania
""se terminó el tiempo de un mundo unipolar,ahora es multipolar""",☝,2,18,24,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1493764540642648068
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-22T22:45:59.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 22, 2022
Organización gubernamental de Rusia"," Presidente Vladímir #Putin: Cuando nuestras propuestas de diálogo han quedado sin respuesta por parte de EEUU y la OTAN, cuando el nivel de amenazas a nuestro país está aumentando, Rusia tiene todo el derecho a tomar medidas de respuesta para garantizar su propia seguridad",☝,60,10,21,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1496254972123660295
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-27T18:32:25.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 27, 2022
Organización gubernamental de Rusia","La crisis en #Ucrania no empezó hace 4 días. Inició hace mucho. Muy pocos en #AméricaLatina saben de aquellos acontecimientos. 
El 2 de mayo de 2014, los nacionalistas ucranianos quemaron vivas a 48 personas en la ciudad de Odessa. Nadie fue castigado.
#Verdad 
#NuncaOlvidaremos",,41,35,65,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1498003102275883015
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-27T01:04:53.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 26, 2022
Organización gubernamental de Rusia","El 25 de febrero el Embajador de  en  Vladimir Sprinchan dio una entrevista al ""Expreso"" sobre la verdadera situación y los hechos en que se basa la operación militar especial de Rusia en Ucrania que tiene como meta parar el genocidio
 https://expreso.ec/actualidad/ecuador-pierde-rusia-sanciones-122458.html?login=google… 
#RusiaEcuador",➡,36,66,148,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1497739480844754949
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-26T01:26:55.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 25, 2022
Organización gubernamental de Rusia"," El embajador ruso en Ecuador, Vladimir Sprinchan, argumentó que la incursión del ejército de su país tuvo una razón y fue defender a los territorios que no están de acuerdo con la política del Gobierno ucraniano.
https://extra.ec/noticia/actualidad/exodo-ecuatoriano-guerra-64120.html… 
#Rusia 
#Ucrania 
#Ecuador",☝,14,21,71,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1497382637291384835
Embajada de Rusia en el Ecuador,@RusEmb_Ecuador,2022-02-27T00:53:13.000Z,"Embajada de Rusia en el Ecuador
@RusEmb_Ecuador
·
Feb 26, 2022
Organización gubernamental de Rusia","Tiene como meta parar el genocidio y garantizar nuestra seguridad. Desde 2015, las autoridades ucranianas no quieren ofrecer autonomía a la región de Donbás y no han cumplido los acuerdos de Minsk
Han muerto más de 14.000 personas, la mayoría civiles
https://expreso.ec/actualidad/ecuador-pierde-rusia-sanciones-122458.html?login=google…",❗ ❗ ❗,32,26,87,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/RusEmb_Ecuador/status/1497736543112417287
