UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-06-29T16:04:03.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jun 29, 2022
Organización gubernamental de Rusia"," Sobre el Campeonato boliviano de wushu 

https://facebook.com/EmbRusBoliviaEs/posts/pfbid02gXQ9Wcm4rEKZ28rrmFz1VdRiDsVzDzRFpN3hWJn2uEeoszHBbzzBXv45fpWwrCMwl…",,,,,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FWbp0aeWQAEtg8V?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FWbp0bFWAAAqOfq?format=jpg&name=small', 'https://pbs.twimg.com/media/FWbp0bqXEAMjZ1m?format=jpg&name=small']",https://twitter.com/embrusboliviaes/status/1542177081827655683
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-06-29T22:36:06.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jun 29, 2022
Organización gubernamental de Rusia"," El Aniversario de la Policía Boliviana

https://facebook.com/EmbRusBoliviaEs/posts/pfbid06iXtiwPoQZjKerLhpXg9dMc3n8tBsKue3DnbtVuPDYm8kCUvPihmATQjfMkV9tUJl…",,,1,1,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FWdDW2eWQAAWXNV?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FWdDW2bWQAI-8Cm?format=jpg&name=small', 'https://pbs.twimg.com/media/FWdDW2bXwAooIKg?format=jpg&name=small']",https://twitter.com/embrusboliviaes/status/1542275744079937537
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-06-29T16:07:13.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jun 29, 2022
Organización gubernamental de Rusia", Compartimos la información confidencial de la Embajada sobre la carta de la Cumbre de la OTAN en Madrid. La única forma de ingerir Rusia ,😏,,1,3,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FWbqfVCWYAAGSGr?format=jpg&name=small']",https://twitter.com/embrusboliviaes/status/1542177877881491458
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-06-29T16:03:20.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jun 29, 2022
Organización gubernamental de Rusia"," Sobre los eventos en la Embajada de Venezuela

https://facebook.com/EmbRusBoliviaEs/posts/pfbid01AoMYeJebEJypEbVjx7kwTZMKJCxHN2wTenZJZki8NFXAs7Brb6MopsZW7hXYFyol…",,,,1,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FWbpjM7WQAAicd0?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FWbpjM7WIAAaBxU?format=jpg&name=small']",https://twitter.com/embrusboliviaes/status/1542176901577543698
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-06-29T16:14:24.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jun 29, 2022
Organización gubernamental de Rusia","ATENCIÓN
 
* ELIMINACIÓN DE LAS RESTRICCIONES PARA LA ENTRADA A LA FEDERACIÓN DE RUSIA DE EXTRANJEROS Y APÁTRIDAS A TRAVÉS DE LOS PUNTOS DE CONTROL AÉREOS Y MARÍTIMOS DE LA FRONTERA ESTATAL DE LA FEDERACIÓN DE RUSIA*

https://facebook.com/EmbRusBoliviaEs/posts/pfbid0kNjcpJ6LoK8atr83WYR3SYD5hDZQHjLiCkHu2QgaWABiQwAkED6FzmsjeKq7utEvl…",‼ ‼,,,2,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/embrusboliviaes/status/1542179685836128258
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-06-29T16:02:26.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jun 29, 2022
Organización gubernamental de Rusia"," El 25 de junio los funcionarios del Interpol, Servicio Penitenciario Federal y Ministerio de Justicia rusos extraditaron a la Federación de Rusia al ciudadano Artyom Kalte, acusado de malversación de más de 25 millones de rublos. 

https://facebook.com/EmbRusBoliviaEs/posts/pfbid0y25gMD8xoMcbBY2RQBfAS7StUwd56vBr542eCbHYLp6AY7N3dcVWZyXk9vp7MGZUl…",,,,1,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/embrusboliviaes/status/1542176676934729729
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-07-03T15:19:38.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jul 3, 2022
Organización gubernamental de Rusia"," Putin ordena conmemorar el centenario del nacimiento de Yuri Knórozov, el lingüista ruso que descifró la escritura maya 
https://facebook.com/EmbRusBoliviaEs/posts/pfbid02szbpnUgvaxSiiPxteHoQAWoNneTuZK24pgA1WVxhHZoZ45cmWxbLD3KAqzd79V7nl…",📜,,,,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FWwF7BFWQAA5WKO?format=jpg&name=small']",https://twitter.com/embrusboliviaes/status/1543615454958288896
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-07-06T03:50:06.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jul 5, 2022
Organización gubernamental de Rusia"," El 211 aniversario del Día de la Independencia de Venezuela

https://t.me/embrusbolivia/142…",🔗,,5,5,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FW9EzYGWAAIGF4Q?format=jpg&name=small', 'https://pbs.twimg.com/media/FW9EzZFWYAAgzCd?format=jpg&name=900x900']",https://twitter.com/embrusboliviaes/status/1544529092552310785
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-07-05T00:05:32.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jul 4, 2022
Organización gubernamental de Rusia","El Embajador participó en la apertura de http://JJ.EE en Entre Ríos

El 30 de junio el Embajador ruso tomó parte en una ceremonia inaugural de la 2a fase de los Juegos Estudiantiles del Trópico.

https://t.me/embrusbolivia/138?single…",,,5,14,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FW3Hp2zWYAA66YW?format=jpg&name=small', 'https://pbs.twimg.com/media/FW3Hp2yWIAE-_RK?format=jpg&name=small', 'https://pbs.twimg.com/media/FW3Hp21WQAA3Mtg?format=jpg&name=small', 'https://pbs.twimg.com/media/FW3Hso0XgAI9XC_?format=jpg&name=small']",https://twitter.com/embrusboliviaes/status/1544110190466928642
Embajada de Rusia en Bolivia,@embrusboliviaes,2022-07-06T03:48:57.000Z,"Embajada de Rusia en Bolivia
@embrusboliviaes
·
Jul 5, 2022
Organización gubernamental de Rusia","Rusia está en la vanguardia de la construcción de un nuevo mundo - canciller venezolano

https://t.me/embrusbolivia/145…",🔗,,2,1,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FW9EdAFX0AMuiDm?format=jpg&name=medium']",https://twitter.com/embrusboliviaes/status/1544528804424699909
