web-scraper-order,web-scraper-start-url,link,link-href,body-text,date,announce-text,title,quote-text
"1681445554-433","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Rússia usa tempo a seu favor ao realizar operação na Ucrânia em ritmo lento, diz militar brasileiro","https://sputniknewsbrasil.com.br/20220818/russia-joga-com-tempo-a-seu-favor-ao-realizar-operacao-na-ucrania-de-forma-mais-lenta-diz-analista-24265917.html","[{""body-text"":""A operação russa na Ucrânia entrou em seu 176º dia nesta quinta-feira (18). Iniciada em 24 de fevereiro, a ação tem como objetivo a desmilitarização e desnazificação do território ucraniano. Até o momento, Moscou continua firme em seu propósito e avança, principalmente na região de Donbass.""},{""body-text"":""No entanto, a mídia tem apontado que a movimentação russa acontece em passos lentos. Para Robinson Farinazzo, especialista militar e oficial da reserva da Marinha do Brasil entrevistado pela Sputnik Brasil, o ritmo atende aos objetivos do líder russo, Vladimir Putin, o qual teria \""interesse em fazer a operação da forma mais devagar possível\"".""},{""body-text"":""\""É importante lembrar que o efetivo militar empregado por Moscou nesta operação é mínimo, eles poderiam 'pesar a mão' muito mais do que estão fazendo [...], o que leva a reforçar essa impressão de que não se tem pressa [para concluir a operação]. Mas não acho, de forma nenhuma, que a maneira como está sendo conduzida a ação indique incompetência militar, estão é usando o tempo ao seu favor\"", analisou o especialista.""},{""body-text"":""O comandante também destaca que na história militar do país – passando pelo período de Napoleão até a invasão alemã em 1941 e recentemente a Síria –, Moscou sempre \""soube jogar muito bem com o tempo em suas operações\"".""},{""body-text"":""Outro ponto que poderia prolongar a operação, visto que tornaria a defesa ucraniana mais robusta e ofereceria mais resistência à investida russa, é o volume de armamento e apoio que o Ocidente envia para Kiev.""},{""body-text"":""No começo deste mês, os EUA divulgaram o envio de US$ 1 bilhão (R$ 5,11 bilhões) em ajuda militar para Ucrânia, no qual será incluído mais munição para lançadores múltiplos de foguetes Himars, conforme noticiado.""},{""body-text"":""Com esse novo pacote, desde de o começo do conflito em fevereiro, Washington já enviou US$ 9,8 bilhões (R$ 50,9 bilhões) em ajuda militar para Kiev, segundo o site Grid. Isso sem contar com a ajuda enviada por Canadá, Austrália e países da Europa.""},{""body-text"":""Entretanto, na visão do especialista, esse envio pouco alterará o cenário do conflito, uma vez que \""essas armas deveriam ter sido enviadas em 2020 para que fizessem a diferença\"".""},{""body-text"":""Farinazzo comenta exatamente sobre o sistema de foguetes Himars, lembrando que quando o mesmo chegou à Ucrânia, as pessoas \""ficaram animadas\"". No entanto, a animação já diminuiu visto que \""por experiência, se sabe que só o armamento não muda o cenário militar\"", essas armas apenas empregam um forte \""efeito de propaganda\"".""},{""body-text"":""O comandante acredita que o apoio a Kiev vai continuar, porém, sublinha que fora os EUA, os países que enviam ajuda sofrem \""uma pressão norte-americana para seguirem com os envios\"".""},{""body-text"":""\""A Europa não tem mais nada a ganhar com esses envios [de armamento]. A Alemanha está perdendo e terá uma enorme contração de sua economia por conta disso. Berlim tinha acesso à energia barata e poderia colocar produtos no mercado com em um preço competitivo, mas agora com o aumento e escassez do gás isso não será mais possível. Na prática, o que a Europa está conseguindo, é perder seu mercado para russos e chineses que estão comprando energia mais barata da Rússia\"", examina.""},{""body-text"":""Ao mesmo tempo, o comandante contextualiza que, quem paga a conta, é o cidadão europeu comum, que ao receber as taxas de energia em casa, enxerga um valor a ser pago cada vez mais alto.""},{""body-text"":""Neste momento, é bastante visível que o conflito entre Rússia e Ucrânia ultrapassa as fronteiras ucranianas e chega, através da crise econômica, a outros países, principalmente às nações europeias.""},{""body-text"":""Indagado de o porquê de lideranças locais não pressionarem Kiev para negociar com Moscou a fim de cessar o conflito e, consequentemente a crise, o comandante diz que a Europa \""perdeu a representatividade\"", uma vez que os atuais políticos \""estão completamente desvinculados do homem médio europeu\"" e são eleitos para \""atenderem a uma pré-agenda\"".""},{""body-text"":""\""Vejamos o caso do [presidente francês] Emmanuel Macron, que é um banqueiro, ele não sabe o valor da passagem de ônibus, quanto custa o quilo do pão, ele foi colocado ali por grandes conglomerados econômicos para atender uma agenda que nada tem a ver com o homem médio francês\"", explica.""},{""body-text"":""Para o especialista, a democracia no Ocidente, em uma forma geral, \""se tornou uma grife porque custa milhões para fazer um deputado, um prefeito, primeiro-ministro\"" e esse candidato só vai conseguir o dinheiro para ganhar eleições contando com apoio desses grandes grupos \""que vão cobrar o preço depois\"" e a necessidade do \""homem médio não é prioridade\"".""},{""body-text"":""Se a solução não vem através de aliados ucranianos, estaria o presidente Zelensky a fim de negociar a paz? Farinazzo acredita que sim, mas no atual momento ele não tem \""autonomia para negociar uma paz mesmo que queira, já que a Ucrânia está sendo conduzida pelos 'players' da OTAN e dos EUA\"".""},{""body-text"":""Sobre o ataque ucraniano à usina de Zaporozhie, que agora está sob os cuidados da Rússia, o comandante considera que se tal ação continuar, haverá uma \""grande tragédia ali\"", no entanto, ressalta que talvez seja \""esse o efeito desejado\"".""},{""body-text"":""Portanto, \""esses aliados podem estar forçando [através de uma tragédia como ataque a uma usina nuclear] uma comoção internacional para que se obtenha um desfecho minimamente favorável para essa aliança\"", sendo essa.\n\n\""Uma aposta bastante arriscada e irresponsável\"", detalha.""},{""body-text"":""De acordo com dados do o Ministério da Defesa russo publicados ontem (17), no total, 267 aviões ucranianos e 148 helicópteros, 1.757 veículos aéreos não tripulados, 366 sistemas de mísseis antiaéreos, 4.340 tanques e outros veículos blindados de combate, 800 sistemas de foguetes de lançamento múltiplo, 3.312 artilharias de campanha e morteiros, e 4.938 unidades de veículos militares especiais foram destruídos durante a operação russa na Ucrânia.""}]","14:39 18.08.2022","Após mais de 170 dias da operação russa em território ucraniano um redesenho da geopolítica mundial começa a acontecer enquanto um horizonte de cessar-fogo parece distante. Mas o tempo empregado na operação é nocivo para os que a realizam ou para os que enviam armamento a Kiev?","Rússia usa tempo a seu favor ao realizar operação na Ucrânia em ritmo lento, diz militar brasileiro","[{""quote-text"":""\""E para as pessoas que pensam que a operação na Ucrânia pode ser curta, vale lembrar a ação na Síria que já dura quase oito anos. Portanto, se Putin quiser estendera agora em território ucraniano ele pode, porque tem efetivo e musculatura militar para isso.\""""},{""quote-text"":""\""Esse ataque a Zaporozhie é uma prova, inequívoca, de que as coisas estão indo muito mal para os parceiros da Ucrânia, eles estão vendo que essa 'guerra' está perdida. [...] Historicamente na Europa, quase todas as ofensivas militares foram feitas no verão, o verão europeu está acabando e Kiev não fez uma ofensiva até agora, e dificilmente conseguirá fazer no outono ou no inverno. Em termos militares, quer dizer que a capacidade que os ucranianos teriam de fazer uma grande ação para recuperar terreno, essa oportunidade já passou, e os 'players' em Washington, Berlim, Londres, Paris sabem disso.\""""}]"
"1681445557-434","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Ucrânia bombardeia região de Zaporozhie novamente; maior usina nuclear da Europa não foi afetada","https://sputniknewsbrasil.com.br/20220818/ucrania-bombardeia-regiao-de-zaporozhie-novamente-maior-usina-nuclear-da-europa-nao-foi-afetada-24273039.html","[{""body-text"":""À Sputnik ele confirmou que a usina nuclear que fica na cidade, e que é a maior da Europa, não foi atingida pelos ataques ucranianos.""},{""body-text"":""As autoridades da cidade confirmaram as informações sobre o bombardeio e pediram aos moradores que se deslocassem para um local seguro.""},{""body-text"":""Informações sobre os locais das explosões, bem como vítimas e danos à infraestrutura civil estão sendo especificadas, disse a administração da cidade em comunicado.""},{""body-text"":""Hoje (18), o presidente da Turquia, Recep Tayyip Erdogan, disse que expressou preocupação sobre a usina ao presidente da Ucrânia, com quem se encontrou juntamente ao secretário-geral da ONU, António Guterres.""},{""body-text"":""A central nuclear de Zaporizhie, localizada na margem esquerda do rio Dniepre, é a maior da Europa em número de unidades e produção.""},{""body-text"":""Desde março, a usina está sob o controle dos militares russos. Nas últimas semanas, a Rússia acusou repetidamente a Ucrânia de bombardear a usina.""}]","20:22 18.08.2022","Tropas ucranianas bombardearam a cidade de Energodar, localizada perto da usina nuclear de Zaporizhie, com artilharia pesada às 22h50 (16h50 de Brasília) nesta quinta-feira (18), disse Vladimir Rogov, membro do conselho principal da administração regional de Zaporizhie.","Ucrânia bombardeia região de Zaporozhie novamente; maior usina nuclear da Europa não foi afetada","[{""quote-text"":""\""Os militantes de [Vladimir] Zelensky abriram fogo maciço de artilharia pesada na cidade de Energodar a partir das 22h50\"", disse Rogov.""},{""quote-text"":""\""Expressamos nossa preocupação com a situação, não queremos um novo desastre de Chernobyl\"", disse Erdogan em entrevista coletiva após o encontro.""}]"
"1681445561-435","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Sistema de segurança da central nuclear de Zaporozhie é reforçado","https://sputniknewsbrasil.com.br/20220819/sistema-de-seguranca-da-central-nuclear-de-zaporozhie-e-reforcado-24275415.html","[{""body-text"":""Em um comunicado à imprensa, Rogov destacou que a segurança da usina foi reforçada, embora não seja possível divulgar todos os detalhes. \""Estamos bem preparados, pois tudo pode ser esperado do regime [Vladimir] Zelensky\"", comentou.""},{""body-text"":""O sistema de proteção da central nuclear de Zaporozhie foi fortalecido devido a uma possível tentativa do Exército ucraniano de atacar a instalação, disse Rogov à Sputnik.""},{""body-text"":""Mais cedo, o representante oficial do Ministério da Defesa da Rússia, o tenente-general Igor Konashenkov, disse que o regime de Kiev estava preparando uma \""provocação\"" na usina nuclear de Zaporozhie durante uma visita à Ucrânia do secretário-geral da Organização das Nações Unidas (ONU), António Guterres.""},{""body-text"":""O tenente-general Igor Kirillov, chefe das Forças de Defesa de Radiação, Química e Biológica, disse na quinta-feira (18) que, devido às ações de Kiev na usina nuclear de Zaporozhie, pode surgir uma situação semelhante ao que aconteceu em Chernobyl e Fukushima.""},{""body-text"":""Em caso de falha dos geradores a diesel de reserva e das bombas móveis, em caso de situação de emergência, o núcleo pode superaquecer.""},{""body-text"":""Como resultado, \""a destruição dos reatores na maior usina nuclear da Europa vai liberar substâncias radioativas na atmosfera por centenas de quilômetros\"", desse Igor Kirillov.""},{""body-text"":""A usina nuclear de Zaporozhie está localizada na margem esquerda do rio Dniepre, perto da cidade de Energodar. Ela está, desde março, sob a proteção dos militares russos para prevenir o vazamento de material radioativo, segundo o Ministério das Relações Exteriores da Rússia.""},{""body-text"":""Desde o início de agosto, as tropas ucranianas intensificaram o bombardeio contra a usina nuclear. Segundo Vladimir Rogov, os militares das Forças Armadas ucranianas têm usado mísseis guiados e projéteis de fabricação ocidental durante os ataques.""},{""body-text"":""O representante permanente da Rússia na ONU, Vasily Nebenzya, apontou que se as forças russas deixassem a usina, ela ficaria vulnerável à ação de Kiev e qualquer tipo de provocação para culpar a Rússia poderia ser feita.""}]","00:59 19.08.2022","O sistema de segurança da usina nuclear de Zaporozhie foi reforçado após a ameaça de novos ataques à instalação, disse Vladimir Rogov, membro do conselho principal da administração cívico-militar da região.","Sistema de segurança da central nuclear de Zaporozhie é reforçado","[]"
"1681445566-436","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","177º dia da operação especial da Rússia na Ucrânia","https://sputniknewsbrasil.com.br/20220819/177-dia-da-operacao-especial-da-russia-na-ucrania-24275720.html","[]","null","null","null","[]"
"1681445570-437","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Equipamento das tropas ucranianas se reduziu em dezenas de vezes, diz militar de Zaporozhie","https://sputniknewsbrasil.com.br/20220819/equipamento-das-tropas-ucranianas-se-reduziu-em-dezenas-de-vezes-diz-militar-de-zaporozhie-24275922.html","[{""body-text"":""Segundo o comandante da unidade Troya, Vladimir Novikov, antes, o nível de equipamento dos militares ucranianos (drones, sensores térmicos e outros dispositivos) era muito alto.""},{""body-text"":""O comandante acrescentou que os militares do Exército ucraniano utilizavam câmeras camufladas nas florestas.""},{""body-text"":""Em 24 de fevereiro, a Rússia começou uma operação especial militar de desnazificação e desmilitarização da Ucrânia. Até o momento, o Exército russo, junto com as forças das repúblicas de Donetsk e Lugansk, libertou completamente a República Popular de Lugansk e uma parte significativa da república de Donetsk, inclusive Volnovakha, Mariupol e Svyatogorsk, bem como toda a região de Kherson, áreas de Zaporozhie no mar de Azov e uma parte da região de Carcóvia.""}]","03:40 19.08.2022","No decorrer da operação especial russa na Ucrânia, conseguiu-se reduzir o equipamento das forças ucranianas em dezenas de vezes, revelou à Sputnik um dos comandantes militares de Zaporozhie.","Equipamento das tropas ucranianas se reduziu em dezenas de vezes, diz militar de Zaporozhie","[{""quote-text"":""Conforme suas palavras, dava para ver cerca de 20 unidades de equipamento no campo de visão. Quanto aos sensores térmicos e de visão noturna, \""chegou ao ponto em que não havia guardas em suas posições, as trincheiras eram equipadas com Wi-Fi, conexões sem fios, câmeras de visão térmica em vez de guardas\"".""}]"
"1681445573-438","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Foreign Affairs: caso Rússia vença na Ucrânia, EUA podem interferir","https://sputniknewsbrasil.com.br/20220819/foreign-affairs-caso-russia-venca-na-ucrania-eua-podem-interferir-24277013.html","[{""body-text"":""A publicação descreve vários cenários de uma  possível interferência norte-americana. Segundo o autor, caso a situação não seja resolvida no espaço de um ano, Washington pode pensar em enviar pequenos contingentes de tropas terrestres para ajudar a Ucrânia.""},{""body-text"":""A interferência por parte dos EUA será mais provável se o Exército ucraniano começar a se desmoronar e a Rússia tiver uma vitória convincente. Neste caso, tendo em conta as intenções da administração Biden de não deixar que tal aconteça, os EUA poderiam tentar reverter a situação tomando parte nos combates de forma direta.""},{""body-text"":""O cenário definitivo da interferência norte-americana implica uma escalada não deliberada: Washington, sem o desejar, é arrastado para o conflito militar através de um acontecimento inesperado, que se desenvolve em uma espiral ascendente, escreve Mearsheimer.""},{""body-text"":""Anteriormente, o diplomata norte-americano Chas W. Freeman, no seu artigo para o The Grayzone, afirmou que os EUA estão conduzindo na Ucrânia uma guerra não declarada contra o Kremlin a fim de manter a sua hegemonia no mundo. Conforme Freeman, as ações do Ocidente não deixaram Moscou outra escolha senão usar a força. Nesse contexto, os EUA vão lutar contra a Rússia \""até o último ucraniano\"".""},{""body-text"":""O ex-assessor do secretário de Defesa norte-americano, Douglas Macgregor, por sua vez, disse que Washington ao longo de dez anos tem inundado Kiev com armas, antagonizando-a contra Moscou. Por isso, segundo Douglas, não é de surpreender que tudo tenha resultado na escalada do conflito.""},{""body-text"":""Desde 24 de fevereiro, a Rússia tem conduzido uma operação militar especial para desnazificar e desmilitarizar a Ucrânia. O presidente russo Vladimir Putin declarou como seu objetivo \""defender as pessoas que ao longo dos oito anos têm sofrido intimidações e genocídio por parte dp regime de Kiev\"". Segundo Putin, o objetivo final da operação é libertar Donbass e criar condições que garantam a segurança da própria Rússia.""}]","06:23 19.08.2022","A situação em torno da operação especial russa na Ucrânia pode resultar na interferência dos EUA no conflito. Esta é a conclusão a que chegou o analista político John Mearscheimer, da Universidade de Chicago, no seu artigo para a edição Foreign Affairs.","Foreign Affairs: caso Rússia vença na Ucrânia, EUA podem interferir","[]"
"1681445576-439","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","MD da Rússia: 6 centros de comando ucranianos e 4 depósitos militares atingidos pelas forças russas","https://sputniknewsbrasil.com.br/20220819/ministerio-defesa-russia-centros-comando-depositos-destruidos-24277825.html","[{""body-text"":""Unidades da defesa antiaérea russa interceptaram 12 foguetes do sistema Himars na região de Kherson, segundo o Ministério da Defesa russo.""},{""body-text"":""Ele acrescentou que nas últimas 24 horas os sistemas de defesa aérea russos atingiram 13 drones ucranianos nas regiões de Carcóvia e Nikolaev.""},{""body-text"":""Também foram destruídos seis centros de comando das Forças Armadas da Ucrânia na República Popular de Donetsk (RPD), além de militares e equipamento. Outros alvos atingidos foram quatro depósitos de armas e munições de foguetes e artilharia perto das localidades de Kurakhovo e Dachnoe, na República Popular de Donetsk, Belaya Krinitsa, na região de Kherson, e Zaliman, na região de Carcóvia, e um obuseiro M777 fabricado nos EUA na região de Zaporozhie\"", disse o ministério russo.""},{""body-text"":""\""Como parte da guerra contrabateria, foram suprimidos dois pelotões dos sistemas lançadores múltiplos de foguete Smerch perto de Vasyukovka, na República Popular de Donetsk, e Orekhov, na região de Zaporozhie, e um pelotão de sistemas de artilharia autopropulsionada Glozdika, perto de Dzerzhinsk\"", continuou o órgão do governo russo.""},{""body-text"":""De acordo com o ministério, também foram atacados dois pelotões de lançadores múltiplos de foguetes Grad perto das localidades de Mayaki e Soledar, dois pelotões de obuseiros Giatsint-B e três pelotões de D-30 na República Popular de Donetsk, região de Kherson e região de Nikolaev.""},{""body-text"":""As Forças Armadas da Rússia eliminaram igualmente mais de 100 militares ucranianos da 14ª Brigada Mecanizada perto da localidade de Stary Saltov, na região de Carcóvia, relatou o representante da Defesa russa, adicionando que outro ataque de alta precisão perto de Dorozhnyanka, na região de Zaporozhie, atingiu um depósito de armas e equipamentos militares da 65ª Brigada Mecanizada ucraniana, destruindo mais de 15 veículos blindados.""},{""body-text"":""Enquanto isso, o grupo nacionalista Kraken executou 100 soldados ucranianos que fugiam das tropas russas, pertencentes à destroçada 58ª Brigada de Infantaria Motorizada da Ucrânia.""},{""body-text"":""\""A fim de deter o pânico e intimidar o pessoal das Forças Armadas da Ucrânia, nacionalistas da unidade militar Kraken fuzilaram simbolicamente 100 militares da 58ª Brigada que fugiram de suas posições.\""""},{""body-text"":""A aviação russa destruiu mais de 50 militantes dos grupos Azov (organização proibida na Rússia como terrorista) e Aydar, reportou o Ministério da Defesa.""},{""body-text"":""\""Armas de alta precisão da Força Aeroespacial da Rússia atingiram pontos de destacamento temporário das unidades nacionalistas Azov perto de Nikolaevka, e do grupo Aydar perto de Soledar, na República Popular de Donetsk. Mais de 50 nacionalistas e 12 peças de equipamento militar foram destruídos\"", ressaltou.""},{""body-text"":""Desde o início da operação militar especial, detalhou o Ministério da Defesa da Rússia, foram eliminados 267 aviões do adversário, 148 helicópteros, 1.770 veículos aéreos não tripulados, 366 sistemas de defesa antiaérea, 4.347 tanques e outros veículos de combate blindados, 807 lançadores múltiplos de foguetes, 3.315 peças de artilharia de campanha e morteiros e 4.958 unidades de veículos militares especiais.""}]","06:58 19.08.2022","Militares russos eliminaram foguetes Himars, depósitos militares e obuseiros M777 das forças ucranianas nas áreas de Alchevsk e Stakhanov, comunicou o Ministério da Defesa da Rússia.","MD da Rússia: 6 centros de comando ucranianos e 4 depósitos militares atingidos pelas forças russas","[{""quote-text"":""\""Foram interceptados um míssil balístico Tochka-U perto do povoado de Yubileynoe, 12 projéteis do sistema lançador múltiplo de foguetes Himars perto de Novaya Kakhovka, região de Kherson, dois foguetes perto das localidades de Topolskoe e Suligovka da região de Carcóvia, e dois mísseis antirradar fabricados nos EUA perto das localidades de Alchevsk e Stakhanov, na República Popular de Lugansk\"", informou o ministério.""}]"
"1681445579-440","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","EUA anunciam nova ajuda militar à Ucrânia e enviarão, pela 1ª vez, veículos resistentes a minas","https://sputniknewsbrasil.com.br/20220819/eua-anunciam-nova-ajuda-militar-a-ucrania-e-enviarao-pela-1-vez-veiculos-resistentes-a-minas-24286711.html","[{""body-text"":""Nesta sexta-feira (19), a Defesa norte-americana anunciou o envio de uma nova remessa militar de ajuda ao governo ucraniano no valor de US$ 775 milhões (R$ 4 bilhões). Pela primeira vez, a administração Biden também mandará ao país do Leste Europeu veículos resistentes a minas e protegidos contra emboscadas.""},{""body-text"":""Ao mesmo tempo, o combo incluirá 16 obuseiros de 105 mm e 36.000 munições de artilharia para atender o novo lote de obuses, 15 drones ScanEagle, 1.000 mísseis Javelins, 1.500 mísseis TOW, 2.000 cartuchos de munição antiblindagem, 50 veículos blindados Humvee, entre outros equipamentos. \n\nSobre veículos aéreos não tripulados, além do ScanEagle, os EUA devem entregar um conjunto de sistemas de drones Phoenix Ghost para Kiev no final deste mês e manter a entrega de forma contínua, afirmou o funcionário.""},{""body-text"":""\""Sobre o Phoenix Ghosts, o conceito aqui é para uma entrega contínua. Então, estaremos entregando a partir do final deste mês. Mas, no futuro, podemos reabastecer seus suprimentos e garantir que eles tenham Phoenix Ghosts suficientes à mão regularmente.\""""},{""body-text"":""O funcionário também destacou que o governo norte-americano tem medidas de responsabilização para rastrear tais pacotes de armas e equipamentos enviados para território ucraniano.""},{""body-text"":""\""Temos medidas de responsabilidade muito, muito detalhadas para garantir que estamos rastreando desde o momento em que temos autorização para fornecer uma capacidade, até o momento em que movemos essa capacidade via Comando de Transporte dos EUA para seu destino para atravessar a fronteira com a Ucrânia, e trabalhando com os ucranianos, também temos informações sobre como eles estão implantando essas capacidades, como estão usando-as e como as estão consumindo\"", disse o oficial de defesa.""},{""body-text"":""A operação russa na Ucrânia entra em seu 177º dia com o avanço progressivo de Moscou, princpalmente na região de Donbass.""}]","14:28 19.08.2022","Washington enviará mais um pacote a Kiev no valor de US$ 775 milhões, o qual terá foco em 40 MaxxPro M Wraps e drones de diferentes categorias.","EUA anunciam nova ajuda militar à Ucrânia e enviarão, pela 1ª vez, veículos resistentes a minas","[]"
"1681445582-441","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Tropas ucranianas atacaram 9 assentamentos com mais de 80 projéteis, diz Milícia Popular de Donetsk","https://sputniknewsbrasil.com.br/20220819/tropas-ucranianas-atacaram-9-assentamentos-com-mais-de-80-projeteis-diz-milicia-popular-de-donetsk-24291832.html","[{""body-text"":""Na quinta-feira (18), o lado ucraniano disparou mais de 250 projéteis, segundo a milícia popular da RPD.""},{""body-text"":""Segundo o Ministério da Defesa da Rússia, uma ofensiva do Exército russo contra posições ucranianas na área de Mazanovka, na república de Donetsk, na quinta-feira (18), destruiu mais de 250 nacionalistas.""},{""body-text"":""Com o ataque da Força Aeroespacial russa na zona de Avdeevka, o 37º batalhão da 56ª brigada ucraniana perdeu mais de 60% de seu pessoal.""},{""body-text"":""A Rússia iniciou a operação militar especial, em 24 de fevereiro, com o objetivo de \""desmilitarizar\"" e \""desnazificar\"" a Ucrânia, após pedido de ajuda das repúblicas populares de Donetsk (RPD) e Lugansk (RPL) para combater ataques de tropas ucranianas.""},{""body-text"":""A missão, segundo o Ministério da Defesa russo, tem como alvo apenas a infraestrutura militar da Ucrânia.""},{""body-text"":""Além disso, as Forças Armadas da Rússia têm acusado militares ucranianos de usar \""métodos terroristas\"" nos combates, como fazer civis de \""escudo humano\"" e se alojar em construções não militares.""}]","18:10 19.08.2022","Tropas ucranianas dispararam mais de 80 projéteis em nove assentamentos da República Popular de Donetsk (RPD) nesta sexta-feira (19), informou a Milícia Popular de Donetsk.","Tropas ucranianas atacaram 9 assentamentos com mais de 80 projéteis, diz Milícia Popular de Donetsk","[{""quote-text"":""\""Ao longo do dia atual [19], de acordo com informações do escritório de representação da república no Centro Conjunto de Controle e Coordenação do regime de cessar-fogo [JCCC, na sigla em inglês], o inimigo disparou mais de 80 projéteis do lançador múltiplo de foguetes Grad, artilharia de canos de 155 mm, 152 mm e 122 mm, bem como 120 mm. O fogo foi disparado em áreas de nove pontos povoados da república\"", disse a Milícia Popular de Donetsk.""}]"
"1681445586-442","https://sputniknewsbrasil.com.br/operacao-russa-na-ucrania/","Ucrânia tenta atacar Melitopol, na região de Zaporozhie, e sistema de defesa russo impede","https://sputniknewsbrasil.com.br/20220819/ucrania-tenta-atacar-melitopol-na-regiao-de-zaporozhie-e-sistema-de-defesa-aerea-impede-24294963.html","[{""body-text"":""Correspondente da Sputnik no local registrou que foram ouvidas quatro explosões e foi possível ver no céu um rastro dos mísseis de defesa aérea.""},{""body-text"":""Autoridades locais afirmaram que o sistema de defesa aérea da Rússia derrubou dois mísseis perto da cidade.""},{""body-text"":""A região de Zaporozhie está sob controle do Exército russo e têm sofrido com diversos bombardeios e ataques de Kiev. No último sábado (13), vários mísseis foram disparados contra a cidade.""},{""body-text"":""A ofensiva ucraniana inclui provocações nos arredores da usina nuclear de Zaporozhie, a maior da Europa.""},{""body-text"":""Desde o início de agosto, as tropas ucranianas intensificaram o bombardeio contra a usina, que está sob a proteção dos militares russos para prevenir o vazamento de material radioativo, segundo o Ministério das Relações Exteriores da Rússia.""},{""body-text"":""Segundo Rogov, os militares ucranianos têm usado mísseis guiados e projéteis de fabricação ocidental durante os ataques.""},{""body-text"":""O representante permanente da Rússia na ONU, Vasily Nebenzya, apontou que se as forças russas deixassem a usina, ela ficaria vulnerável à ação de Kiev e qualquer tipo de provocação para culpar a Rússia poderia ser feita.""}]","19:39 19.08.2022","Tropas ucranianas tentaram atacar a cidade de Melitopol, na região de Zaporozhie, na noite desta sexta-feira (19), manhã de sábado no horário local. O sistema de defesa aérea russo foi ativado e impediu que prédios e residências fossem alvejados.","Ucrânia tenta atacar Melitopol, na região de Zaporozhie, e sistema de defesa russo impede","[{""quote-text"":""\""Os sistemas de defesa aérea russos derrubaram perto de Melitopol dois mísseis disparados por militantes das Forças Armadas ucranianas contra instalações de infraestrutura civil e áreas residenciais\"", escreveu Vladimir Rogov, membro do conselho principal da administração regional de Zaporozhie, no Telegram.""}]"
