web-scraper-order,web-scraper-start-url,article,link-href,title,announce-text,body-text,quote-text,date
1681433932-1,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,"""Kiev no merece el apoyo que recibe"": senadora rumana llama a reconsiderar la ayuda hacia Ucrania25 de marzo162",https://sputniknews.lat/20230325/kiev-no-merece-el-apoyo-que-recibe-senadora-rumana-llama-a-reconsiderar-la-ayuda-hacia-ucrania-1137327386.html,"""Kiev no merece el apoyo que recibe"": senadora rumana llama a reconsiderar la ayuda hacia Ucrania","Tras recibir amenazas desde Ucrania, la senadora rumana Diana Sosoaca pidió una revisión inmediata del apoyo de Bucarest a Kiev. Esto sucede luego de que Sosoaca fuese incluida en la 'lista de la muerte' ucraniana por registrar en el Senado un proyecto de ley que preveía la ruptura del acuerdo sobre relaciones de buena vecindad con Kiev.","[{""body-text"":""Afirmó que la opinión internacional también debería darse cuenta de que \""Ucrania no merece el apoyo que está recibiendo\"".""},{""body-text"":""Sosoaca presentó en el Senado un proyecto de ley que renunciaría a las relaciones de buena vecindad con Ucrania y la recuperación de sus regiones que históricamente fueron rumanos como Bucovina del Norte, Gertsa, Buceagul, Maramures y la isla de las Serpientes.""},{""body-text"":""Como respuesta a su iniciativa, en el Ministerio de Asuntos Exteriores ucraniano iniciaron un proceso de sanciones contra la senadora y su nombre apareció en el polémico sitio web Mirotvorets, más conocido como la lista de la muerte en la que los ultranacionalistas ucranianos incluyen a figuras que consideran sus enemigos. La propia Sosoaca declaró haber recibido amenazas de la Cancillería ucraniana.""},{""body-text"":""El sitio Mirotvorets publica información privada sobre activistas, políticos, reporteros y representantes de organizaciones internacionales a los que acusa de ser enemigos de Ucrania o de trabajar contra los intereses del país. Esta información puede incluir su dirección de residencia y número de teléfono privado.""},{""body-text"":""En 2015, el político ucraniano Oleg Kaláshnikov, conocido por su posición contra el golpe de Estado de 2014, y el periodista Oles Buzina fueron asesinados en Kiev luego de que su información privada fuese publicada por el portal. Este no ha sido un caso aislado, otras personas ya han recibido amenazas e intentos de intimidación luego de aparecer en la plataforma. Al día de hoy incluye figuras como el primer ministro húngaro, Viktor Orban, el exsecretario de Estado estadounidense Henry Kissinger o el cofundador de Pink Floyd Roger Waters.""},{""body-text"":""La existencia de esa lista ha sido condenada no solo por Rusia y otros países, sino también por organizaciones como Amnistía Internacional, Reporteros sin Fronteras o el Comité de Defensa de Periodistas.""},{""body-text"":""Desde el Servicio de Inteligencia Exterior de Rusia informaron que Polonia estaba dispuesta a una mayor cooperación en la cuestión ucraniana con Hungría y Rumanía, cubriendo sus planes de apoderarse de Ucrania occidental. Varsovia espera que el atrincheramiento en el oeste de Ucrania divida al país y Polonia, por su parte, se haga con el control de los territorios ocupados por las fuerzas de paz, señalaron desde el organismo.""},{""body-text"":""La idea de ocupación de los territorios occidentales ucranianos por Polonia no es nueva, subrayó a Sputnik Alexéi Fenenko, doctor en Ciencias Políticas y profesor asociado de la Universidad Estatal de Moscú.""},{""body-text"":""\""La idea circula desde 2014. Se espera que en el último momento el Gobierno de Kiev podría escaparse allí [al oeste de Ucrania] y crear un fragmento de la antigua Ucrania, que Occidente reconocería como legítimo y luego Polonia y Hungría podrían quitarle algunos territorios. Creo que este es el propósito de esta concentración de sus fuerzas [en Ucrania]. Es poco probable que quieran entrar en guerra con Rusia, pero es posible que se hagan con una parte de Ucrania\"", comunicó Fenenko.""},{""body-text"":""En su opinión, la OTAN aprobaría esa decisión de Polonia porque mantendría al menos una parte de Ucrania bajo su control.""}]","[{""quote-text"":""\""Mi inclusión en la lista de objetivos de Mirotvorets demuestra que Ucrania es un Estado con tendencias terroristas (...) Este tipo de amenaza demuestra que Rumanía está apoyando a un Estado criminal con dinero y ayuda. Pido a Rumanía que reconsidere inmediatamente su actitud hacia Kiev\"", escribió en las redes sociales.""}]",14:00 GMT 25.03.2023
1681433935-2,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Rusia desplegará en Bielorrusia su armamento nuclear25 de marzo709,https://sputniknews.lat/20230325/rusia-desplegara-en-bielorrusia-su-armamento-nuclear-1137334744.html,Rusia desplegará en Bielorrusia su armamento nuclear,"Rusia desplegará en Bielorrusia sus armas nucleares tácticas, anunció el presidente ruso, Vladímir Putin. Agregó que su par bielorruso lleva tiempo solicitando el despliegue de armas nucleares rusas en su territorio y la medida está destinada a contrarrestar pasos similares de EEUU en Europa.","[{""body-text"":""El mandatario ruso detalló que para el 1 de julio Rusia terminará en territorio bielorruso un silo para el almacenamiento de armamiento nuclear y subrayó que las armas se desplegarán sin violar las obligaciones del Tratado START. En sus palabras, la decisión se tomó luego de que desde Reino Unido anunciasen el suministro de proyectiles de uranio empobrecido a Ucrania.""},{""body-text"":""Al mismo tiempo, Putin señaló que Bielorrusia llevaba tiempo solicitando el despliegue de armas nucleares rusas en su territorio.""},{""body-text"":""El mandatario ruso destacó que Rusia es capaz de responder a suministros de municiones de uranio empobrecido a Kiev.""},{""body-text"":""El presidente ruso señaló que el posible uso de municiones de uranio empobrecido por Ucrania causará la contaminación de las áreas de cultivo. Putin agregó que las municiones de uranio empobrecido no son armas de destrucción masiva, pero generan polvo radiactivo y están clasificadas como armas peligrosas.""},{""body-text"":""Además, reiteró que los suministros de armas occidentales a Ucrania prolongan el conflicto. El mandatario ruso también indicó que el número total de tanques rusos superará en más de tres veces la cifra de tanques ucranianos.""},{""body-text"":""El 21 de marzo, la viceministra de Defensa británica, Annabel Goldie, anunció que el Reino Unido suministrará a Ucrania municiones con uranio empobrecido para apoyar a su aliado en medio de la operación militar rusa.""},{""body-text"":""Vladímir Putin, a su vez, declaró que la iniciativa británica de suministrar a Kiev proyectiles de uranio empobrecido significa que Occidente decidió combatir a Rusia hasta el último ucraniano, no con palabras sino con actos, por lo que Rusia se verá obligada a reaccionar cuando el Occidente colectivo empiece a utilizar armas con un componente nuclear.""}]","[{""quote-text"":""\""Básicamente estamos haciendo lo mismo que ellos [EEUU] han estado haciendo durante una década. Tienen aliados en ciertos países y entrenan a sus portaaviones, entrenan a sus tripulaciones. Nosotros vamos a hacer lo mismo\"", aseveró Putin al canal Rossiya 24.""}]",17:24 GMT 25.03.2023
1681433937-3,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Las Fuerzas Armadas de Rusia destruyen un dron ucraniano26 de marzo228,https://sputniknews.lat/20230326/las-fuerzas-armadas-de-rusia-destruyen-un-dron-ucraniano-1137342294.html,Las Fuerzas Armadas de Rusia destruyen un dron ucraniano,"El Ejército ruso destruyó un dron ucraniano Furiya en la zona de Krasni Limán, informó a Sputnik un vocero del Ministerio de Defensa del país euroasiático.","[{""body-text"":""\""En la dirección Krasni Limán, durante las labores de combate, operadores de un sistema de misiles antiaéreo Tor-M1, del Grupo Central de Fuerzas, descubrieron y destruyeron un dron de las Fuerzas Armadas ucranianas del tipo Furiya\"", detalló el portavoz.""},{""body-text"":""Agregó que en el curso del combate de contrabatería las unidades de artillería fueron descubiertas por el Grupo Central de Fuerzas y todos los objetivos fueron posteriormente eliminados.""},{""body-text"":""El pasado 23 de marzo, elementos del Ejército ruso relataron cómo destruyeron drones navales de las Fuerzas Armadas ucranianas cuando estos se acercaban a Sebastopol.""},{""body-text"":""Desde junio pasado, varios drones ucranianos intentaron atacar periódicamente la ciudad de Sebastopol, la base principal de la Flota del Mar Negro, así como otras instalaciones de la península. Fueron atacados el cuartel general ruso de la Flota del Mar Negro en la ciudad, instalaciones energéticas y aeródromos militares. La mayoría de los drones fueron derribados por los sistemas de defensa antiaérea de Rusia.""},{""body-text"":""A finales de octubre pasado hubo un intento de ataque con drones aéreos y navales. Según el Ministerio de Defensa ruso, cuatro drones marítimos fueron eliminados en la rada exterior y otros tres en la interior.""},{""body-text"":""En febrero, las fuerzas de defensa antiaérea derribaron dos drones sobre el mar y cerca de la central térmica de Balaklava. El anterior ataque masivo de drones contra Sebastopol se produjo el 16 de enero de 2023, cuando las fuerzas de defensa antiaérea derribaron 10 drones.""}]",[],04:40 GMT 26.03.2023
1681433940-4,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,El Kremlin: Rusia no cambiará sus planes sobre armas nucleares tácticas en Bielorrusia27 de marzo194,https://sputniknews.lat/20230327/kremlin-rusia-no-cambiara-planes-sobre-armas-nucleares-tacticas-en-bielorrusia-1137376724.html,El Kremlin: Rusia no cambiará sus planes sobre armas nucleares tácticas en Bielorrusia,"MOSCÚ (Sputnik) — Las críticas por parte de los países occidentales no afectarán a los planes de Rusia de desplegar armas nucleares tácticas en Bielorrusia, declaró el portavoz del Kremlin, Dmitri Peskov.","[{""body-text"":""El presidente de Rusia, Vladímir Putin, anunció el 25 de marzo que Moscú y Minsk acordaron el despliegue de armas nucleares tácticas rusas en Bielorrusia sin violar los compromisos internacionales.""},{""body-text"":""Putin aclaró que no se trata de un traspaso de armas nucleares a Bielorrusia sino de emplazamiento e indicó, en alusión a la práctica de compartición nuclear en el marco de la OTAN, que Estados Unidos lo había estado haciendo en varios países durante una década.""},{""body-text"":""Según el mandatario, la construcción de un almacén de armas nucleares tácticas en Bielorrusia finalizará el 1 de julio.""},{""body-text"":""El Ministerio de Exteriores francés llamó a Moscú a revisar su decisión, y otros países, como Japón y Lituania, la criticaron.""},{""body-text"":""A su vez, el alto representante para Asuntos Exteriores y Política de Seguridad y vicepresidente de la Comisión Europea, Josep Borrell, advirtió que Bruselas responderá a la decisión con nuevas sanciones.""}]",[],10:49 GMT 27.03.2023
1681433942-5,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Donetsk informa del atentado contra la vida del jefe de Policía de Mariúpol | Video27 de marzo127,https://sputniknews.lat/20230327/la-rpd-informa-del-atentado-contra-la-vida-del-jefe-de-policia-de-mariupol-1137378176.html,Donetsk informa del atentado contra la vida del jefe de Policía de Mariúpol | Video,"DONETSK (Sputnik) — El jefe de la Policía de la ciudad costera de Mariúpol, Mijaíl Moskvin, sobrevivió a un atentado contra su vida, comunicó a Sputnik el portavoz de las milicias de la República Popular de Donetsk (RPD), Eduard Basurin. El jefe de Policía no necesitó hospitalización pues no sufrió lesiones graves, especificó la fuente.","[{""body-text"":""Un representante de las fuerzas del orden que trabajaba en la escena del atentado declaró a esta agencia que una bomba fue colocada debajo del automóvil de Moskvin, la cual explotó cuando la víctima estaba al lado del vehículo.""},{""body-text"":""En la escena del intento de asesinato trabajan expertos forenses y la ciudad impuso un \""plan de interceptación\"", para la búsqueda urgente de un automóvil huido.""},{""body-text"":""Mariúpol está situada al sur de la RPD, la cual, junto con Lugansk, se independizaron de Ucrania en mayo de 2014 tras no reconocer a las nuevas autoridades que resultaron del golpe de Estado producido en Kiev en febrero de ese mismo año y en septiembre pasado, se incorporaron, con las provincias de Jersón y Zaporozhie, al territorio ruso tras sendos referendos. Los cuatro territorios declararon que buscan adherirse a Rusia para garantizar la seguridad de sus habitantes y frenar los ataques del Gobierno ucraniano, con las armas suministradas por Estados Unidos y otros países de la OTAN.""}]","[{""quote-text"":""\""Hoy [lunes 27 de marzo], se atentó contra Mijo [diminutivo de Mijaíl], el jefe de Policía Moskvin. Está vivo. Hablé con él, tuvo una leve conmoción cerebral\"", informó Basurin.""}]",11:20 GMT 27.03.2023
1681433945-6,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Ucrania entrega a Rusia 5 militares gravemente heridos27 de marzo194,https://sputniknews.lat/20230327/ucrania-entrega-a-rusia-cinco-militares-gravemente-heridos-1137391766.html,Ucrania entrega a Rusia 5 militares gravemente heridos,"MOSCÚ (Sputnik) — Ucrania entregó a Rusia cinco militares heridos de gravedad, informó la defensora del pueblo de Rusia, Tatiana Moskalkova. Destacó la importancia de continuar el proceso de repatriación.","[{""body-text"":""El 25 de marzo, la Sede ucraniana de Coordinación para el Tratamiento de Prisioneros informó que entregó, en el marco de sus obligaciones internacionales, a Rusia a todos los prisioneros de guerra gravemente heridos que podían ser transportados.""},{""body-text"":""El presidente ruso, Vladímir Putin, anunció en la madrugada del 24 de febrero el lanzamiento de una operación militar especial en Ucrania para defender las repúblicas populares de Donetsk y Lugansk, previamente reconocidas por Moscú como Estados soberanos, frente al genocidio por parte de Kiev.""}]","[{""quote-text"":""\""Confirmo que cinco militares rusos gravemente heridos fueron entregados\"", declaró Moskalkova ante la prensa.""}]",16:30 GMT 27.03.2023
1681433948-7,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,,https://sputniknews.lat/20230327/exoficial-de-la-cia-aconseja-a-eeuu-que-convenza-a-zelenski-dejar-sus-reclamos-sobre-crimea-y-1137393406.html,Exoficial de la CIA aconseja a EEUU que convenza a Zelenski dejar sus reclamos sobre Crimea y Donbás,"EEUU debería decirle sin rodeos al presidente ucraniano, Volodímir Zelenski, que Kiev tendrá que acabar aceptando concesiones territoriales, declaró el exjefe del Centro Antiterrorista de la CIA Robert Grenier. No obstante, esto no debería detener a la OTAN en su intensión de convertir a Kiev en una fortaleza inexpugnable para disuadir a Moscú.","[{""body-text"":""En opinión del experto, el conflicto ucraniano no amenaza la seguridad nacional de Washington, y la defensa total de cada centímetro de territorio ucraniano no figura en la lista de intereses vitales de Occidente.""},{""body-text"":""Agregó que para la OTAN es importante convertir a Kiev en una fortaleza inexpugnable para disuadir a Rusia en el futuro, pero los estadounidenses y sus aliados no necesitan todo el país para este fin. El mandatario ucraniano depende absolutamente de Occidente, por lo que se verá obligado a aceptar, concluyó el autor.""},{""body-text"":""Desde Moscú han subrayado en repetidas ocasiones que las regiones de Jersón y Zaporozhie, las repúblicas populares de Donetsk y Lugansk, así como la península de Crimea son partes inseparables de Rusia. No se puede hablar de cambiar su estatus.""}]","[{""quote-text"":""\""Llegó el momento en que un alto funcionario de la Administración Biden tendrá que iniciar una dura conversación con [Volodímir] Zelenski (…) Hay que empujar a Kiev hacia la idea de una solución negociada a la crisis, que probablemente incluirá concesiones territoriales en Crimea y Donbás\"", escribió Robert Grenier en el artículo para The Hill.""},{""quote-text"":""\""Ahora es el momento de empezar a disuadir a Zelenski de que cuente con el apoyo incondicional de Estados Unidos y Occidente\"", aseveró Grenier.""}]",18:50 GMT 27.03.2023
1681433950-8,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,El Ministerio de Defensa alemán confirma la llegada de 18 tanques Leopard 2 a Ucrania27 de marzo143,https://sputniknews.lat/20230327/el-ministerio-de-defensa-aleman-confirma-la-llegada-de-18-tanques-leopard-2-a-ucrania-1137398292.html,El Ministerio de Defensa alemán confirma la llegada de 18 tanques Leopard 2 a Ucrania,BERLÍN (Sputnik) — El Ministerio de Defensa de Alemania confirmó que 18 tanques Leopard 2 llegaron a Ucrania.,"[{""body-text"":""Anteriormente, el diario alemán Spiegel comunicó que 18 carros de combate Leopard 2 cruzaron la frontera ucraniana, y además, 40 vehículos militares de infantería Marder llegaron a la zona de combate.""},{""body-text"":""El 8 de marzo, desde el ministerio anunciaron que un total de 21 tanques Leopard 2 del modelo A6 desde Alemania y Portugal pueden llegar a Ucrania en marzo.""},{""body-text"":""Numerosos países condenaron la operación militar especial que Rusia anunció el pasado 24 de febrero y apoyan a Kiev con suministros de armas, donaciones, ayuda humanitaria y sanciones contra Moscú. Rusia envió notas de protesta a todos los países que suministran armas a Ucrania.""},{""body-text"":""El ministro de Exteriores ruso, Serguéi Lavrov, advirtió que cualquier cargamento con armas para Kiev se convertirá en un blanco legítimo para las Fuerzas Armadas rusas. A su vez, el portavoz del Kremlin, Dmitri Peskov, comentó que los intentos de saturar a Ucrania de armamento no favorecen el avance de las negociaciones y tendrán un impacto negativo en la situación.""}]","[{""quote-text"":""\""Fueron prometidos, fueron entregados: 18 tanques Leopard 2 A6, así como municiones y piezas de repuesto llegaron hoy [el 27 de marzo] a Ucrania\"", publicó el Ministerio en su cuenta de Twitter.""}]",20:00 GMT 27.03.2023
1681433954-9,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Los lanzallamas pesados TOS-1A Solntsepiok incineran sus objetivos en la zona de combate | Video28 de marzo196,https://sputniknews.lat/20230328/los-lanzallamas-pesados-tos-1a-solntsepiok-incineran-sus-objetivos-en-la-zona-de-combate--video-1137416476.html,Los lanzallamas pesados TOS-1A Solntsepiok incineran sus objetivos en la zona de combate | Video,"Sputnik obtuvo unas Imágenes únicas del uso de los lanzallamas pesados TOS-1A Solntsepiok, en la zona de la operación militar, visto desde el aire con una cámara térmica.","[{""body-text"":""El video también es único porque muestra el trabajo combinado de los lanzacohetes múltiples Grad con los lanzallamas pesados. Primero se pueden ver los impactos de los cohetes de los Grad, después de lo cual vienen los proyectiles termobáricos de los Solntsepiok contra posiciones ucranianas en dirección de Avdéyevka.""},{""body-text"":""El video del dron equipado con una cámara térmica muestra una diferencia significativa en la potencia de estos dos tipos de munición. Su uso simultáneo permite cubrir de una manera más densa las fortificaciones enemigas. De este modo, se aplican diferentes vías de funcionamiento de los sistemas, en este caso, la fragmentación de alto explosivo y la termobárica.""},{""body-text"":""Avdéyevka es un pueblo de la región de Donetsk, que está bajo control de Kiev y constituye una de sus principales áreas fortificadas en esta dirección. El Ejército ucraniano bombardea Donetsk desde su territorio.""},{""body-text"":""El Ministerio de Defensa rusa informa de que continúan los intensos combates en Avdéyevka, Marinka y Artiómovsk. En las últimas 24 horas fueron eliminadas 84 piezas de artillería, 128 zonas con acumulación de personal y equipos y dos depósitos de municiones. La Fuerza Aeroespacial de Rusia y defensa antiaérea de primera línea derribaron un helicóptero Mi-8, 14 drones y siete lanzacohetes múltiples Himars.""},{""body-text"":""Rusia lanzó una operación militar especial en Ucrania en respuesta a la solicitud de las Repúblicas Populares de Donetsk y Lugansk, previamente reconocidas por Moscú como Estados soberanos, para que se les preste ayuda frente al genocidio por parte de Kiev.""}]",[],12:16 GMT 28.03.2023
1681433956-10,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,El Kremlin acusa a Alemania de aumentar su implicación en el conflicto ucraniano28 de marzo79,https://sputniknews.lat/20230328/el-kremlin-acusa-a-alemania-de-aumentar-su-implicacion-en-el-conflicto-ucraniano-1137423620.html,El Kremlin acusa a Alemania de aumentar su implicación en el conflicto ucraniano,"MOSCÚ (Sputnik) — Alemania aumenta directa e indirectamente su grado de implicación en el conflicto en Ucrania, denunció este martes el portavoz del Kremlin, Dmitri Peskov.","[{""body-text"":""Reiteró que Berlín participa activamente en armar a Kiev, \""bombeando armas a Ucrania\"".""},{""body-text"":""El 27 de marzo la revista Der Spiegel informó que el Ministerio de Finanzas alemán pretende acordar en el Bundestag (Parlamento Federal alemán) un aumento del fondo presupuestario con el que se financia la asistencia a Kiev de 2.200 millones de euros a 5.400 millones de euros este año.""},{""body-text"":""Numerosos países condenaron la operación militar especial que Rusia anunció el pasado 24 de febrero y apoyan a Kiev con suministros de armas, donaciones, ayuda humanitaria y sanciones contra Moscú. Rusia envió notas de protesta a todos los países que suministran armas a Ucrania.""},{""body-text"":""El ministro de Exteriores ruso, Serguéi Lavrov, advirtió que cualquier cargamento con armas para Kiev se convertirá en un blanco legítimo para las Fuerzas Armadas rusas. A su vez, el portavoz del Kremlin, Dmitri Peskov, comentó que los intentos de saturar a Ucrania de armamento no favorecen el avance de las negociaciones y tendrán un impacto negativo en la situación.""}]",[],12:39 GMT 28.03.2023
