web-scraper-order,web-scraper-start-url,link,link-href,title,announce-text,body-text,quote-text,date,label,tags
1682202667-1,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Rusia multiplica la producción de armas de alta precisión1 de abril322,https://sputniknews.lat/20230401/rusia-multiplica-la-produccion-de-armas-de-alta-precision-1137612349.html,Rusia multiplica la producción de armas de alta precisión,"El ministro de Defensa ruso, Serguéi Shoigú, anunció un aumento múltiple de la producción de armas convencionales y de alta precisión. Esto permitirá cumplir todos los objetivos establecidos de la operación militar especial, señalaron desde el Ministerio.","[{""body-text"":""El titular de Defensa mantuvo una reunión con los mandos de agrupación del Ejército sobre el suministro de municiones, durante la cual también se discutieron formas de mejorar la eficacia del sistema logístico para abastecer a las tropas de todo lo que necesitan.""},{""body-text"":""Desde el 24 de febrero, Rusia lleva a cabo la operación militar especial para defender las repúblicas populares de Donetsk y Lugansk, previamente reconocidas por Moscú como Estados soberanos, frente al genocidio cometido por parte de Kiev. Uno de los objetivos fundamentales de la operación es la desmilitarización y la desnazificación de Ucrania.""}]","[{""quote-text"":""\""Al ampliar la capacidad de producción y aumentar la productividad, el número de productos que fabrican para apoyar a las tropas se multiplicó. Esto incluye tanto tipos de armas convencionales como de alta precisión. Todo esto permite cumplir las tareas fijadas por el comandante supremo de acuerdo con el plan de la operación militar especial\"", declaró Serguéi Shoigú.""},{""quote-text"":""\""El suministro de municiones a los grupos de tropas está siendo revisado constantemente por el Gobierno y el Ministerio de Defensa ruso. Se determinaron los volúmenes de suministro de las municiones más necesarias. Se tomaron las medidas necesarias para aumentarlos\"", comunicaron desde el organismo castrense.""}]",15:30 GMT 01.04.2023,Defensa,"[{""tags"":""Defensa""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""},{""tags"":""Serguéi Shoigú""},{""tags"":""Rusia""},{""tags"":""Ucrania""},{""tags"":""🛡️ Zonas de conflicto""},{""tags"":""🛡️ Industria militar""}]"
1682202670-2,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Tropas rusas repelen ataque con cohetes ucranianos en el sur de Donetsk2 de abril235,https://sputniknews.lat/20230402/tropas-rusas-repelen-ataque-con-cohetes-ucranianos-en-el-sur-de-donetsk-1137620028.html,Tropas rusas repelen ataque con cohetes ucranianos en el sur de Donetsk,"Fuerzas rusas repelieron un ataque múltiple con cohetes lanzado por tropas ucranianas en la zona sur de Donetsk, y destruyeron dos grupos de reconocimiento de ese país, dijo a Sputnik un portavoz del Ministerio de Defensa ruso.","[{""body-text"":""\""En el sur de Donetsk, un ataque múltiple combinado con dos cohetes de sistema HIMARS y tres proyectiles Smerch fue repelido. Las tripulaciones de un sistema antimisiles S-300 y baterías antiaéreas Buk destruyeron todos los objetivos\"", precisó el vocero.""},{""body-text"":""De acuerdo con reportes del Ministerio de Defensa, también fueron destruidos tres drones ucranianos.""},{""body-text"":""En la dirección sur de Donetsk, tropas rusas evitaron por la fuerza dos intentos del enemigo de llevar a cabo labores de reconocimiento.""},{""body-text"":""Además, en la zona de Zaporozhie, un intento de fuerzas ucranianas para enviar un grupo de sabotaje y reconocimiento a la retaguardia de tropas rusas fue evitado y cinco militares murieron, agregó el vocero del Ministerio de Defensa.""}]",[],03:06 GMT 02.04.2023,Defensa,"[{""tags"":""Defensa""},{""tags"":""Donetsk""},{""tags"":""S-300 Favorit""},{""tags"":""Ucrania""},{""tags"":""📰 Conflicto en el este de Ucrania (2014-2022)""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""}]"
1682202675-3,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Varios heridos en Melitópol por disparos del Ejército ucraniano2 de abril116,https://sputniknews.lat/20230402/varios-heridos-en-melitopol-por-disparos-del-ejercito-ucraniano-1137624628.html,Varios heridos en Melitópol por disparos del Ejército ucraniano,"SIMFERÓPOL (Sputnik) — Al menos seis personas sufrieron lesiones por disparos del Ejército ucraniano contra Melitópol, en la provincia de Zaporozhie, según las autoridades locales. Según las autoridades, el bombardeo afectó una cochera de locomotoras y un edificio residencial.","[{""body-text"":""Añadió que, según los datos de servicios de seguridad, el ataque se llevó a cabo con lanzacohetes múltiples Himars y Vilkha con municiones en racimo.""},{""body-text"":""Por su parte, la jefa de la administración de la ciudad, Galina Danílchenko, agregó que uno de los hospitalizados se encuentra en estado grave.""},{""body-text"":""La provincia de Zaporozhie se escindió de Ucrania y se incorporó a Rusia a finales de septiembre pasado, tras un referéndum en el que el 'sí' ganó por mayoría abrumadora. Actualmente, Rusia controla más del 70% de su territorio; la ciudad principal, Zaporozhie, sigue en manos ucranianas, por lo que las autoridades proclamaron como centro político y administrativo la ciudad de Melitópol.""},{""body-text"":""Las fuerzas de Rusia llevan a cabo desde febrero de 2022 la operación especial militar para detener la masacre de civiles por parte de Ucrania en Donetsk y Lugansk. Ucrania es apoyada militarmente por Estados Unidos y otros países miembros de la Organización del Tratado del Atlántico Norte (OTAN).""}]","[{""quote-text"":""\""El número de heridos por bombardeo de Melitópol se elevó a seis personas\"", publicó la administración municipal en su canal de Telegram.""},{""quote-text"":""\""Todas las víctimas son civiles\"", indicó.""}]",09:20 GMT 02.04.2023,Defensa,"[{""tags"":""Defensa""},{""tags"":""🛡️ Zonas de conflicto""},{""tags"":""Ucrania""},{""tags"":""Zaporozhie""},{""tags"":""Rusia""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""}]"
1682202679-4,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,"""Cometí un crimen muy cruel"": un neonazi de Azov admite haber profanado el cuerpo de un soldado ruso2 de abril245",https://sputniknews.lat/20230402/cometi-un-crimen-muy-cruel-un-neonazi-de-azov-admite-haber-profanado-el-cuerpo-de-un-soldado-ruso-1137624172.html,"""Cometí un crimen muy cruel"": un neonazi de Azov admite haber profanado el cuerpo de un soldado ruso","Un excombatiente del batallón neonazi Azov*, capturado como prisionero de guerra, admitió haber profanado el cadáver de un militar de la República Popular de Donetsk. En sus palabras, lo hizo para dejar un mensaje a las fuerzas rusas que avanzaban y así intentar intimidar a sus militares.","[{""body-text"":""Explicó que había robado dicha arma blanca en una casa privada.""},{""body-text"":""No es la primera vez que los militares ucranianos mostraron \""la naturaleza salvaje del actual régimen de Kiev\"", explicaron desde el Ministerio de Defensa de Rusia. En octubre de 2022 fue publicado un video del asesinato deliberado y metódico de más de 10 militares rusos desarmados e inmovilizados por parte de las FFAA ucranianas con disparos directos en la cabeza. Desde el organismo castrense ruso afirmaron que se trata de una práctica habitual en las FFAA de Ucrania, apoyada activamente por el régimen de Kiev e ignorada ciegamente por sus patrocinadores occidentales.""},{""body-text"":""Otro combatiente del batallón admitió al reportero italiano de Il Giornale, Gian Micalessin, que su peor condena \""no es cárcel, sino los fantasmas de mis víctimas\"".""},{""body-text"":""El soldado neonazi confesó que mató a una mujer disparándole tres veces a bocajarro.""},{""body-text"":""\""Los sótanos estaban llenos de civiles, pero también había colaboradores rusos. Aquel día estaba mirando en el sótano y vi a una mujer. Estaba sola, era joven y guapa. Cuando me vio, retrocedió. Sus ojos asustados me excitaron. La empujé a un rincón, la obligué a arrodillarse, me bajé la cremallera de los pantalones y le susurré al oído una orden obscena. De repente se oyó un grito, el sonido de pasos en la oscuridad. No sabía quién era, solo oía su voz: '¡Suéltala, cabrón!'. Vino hacia mí. Empujé a la chica, agarré mi pistola y disparé tres tiros casi a bocajarro\"", confesó.""},{""body-text"":""El 2 de agosto, el batallón ucraniano Azov fue declarado como organización terrorista por el Tribunal Supremo de Rusia y quedó prohibido en el país. El regimiento tuvo un auge tras el golpe de Estado perpetrado contra el Gobierno de Víctor Yanukóvich en 2014. En su escudo, refleja símbolos del nazismo como el Sol Negro, símbolo ocultista utilizado por las SS y por los grupos de extrema derecha.""},{""body-text"":""* prohibido en Rusia por extremista y terrorista.""}]","[{""quote-text"":""\""Cometí un crimen muy cruel contra el cadáver de un soldado de la República Popular de Donetsk. Me permití tomar su cuerpo, ponerlo en una silla y profanarlo introduciéndole una catana [una espada japonesa larga] para intimidar a las fuerzas [rusas] que avanzaban\"", confesó Anton Shtukin ante las cámaras.""},{""quote-text"":""\""Intenté perforar la zona abdominal, pero no pude porque tenía una chaqueta. Introduje [la espada] en la zona del cuello, donde estaba abierta, la retorcí varias veces y la saqué, la introduje en la zona del corazón, dejando la catana dentro para que se viera\"", admitió el exmiembro del batallón Azov.""}]",17:00 GMT 02.04.2023,Neonazismo en Ucrania,"[{""tags"":""Neonazismo en Ucrania""},{""tags"":""Azov (batallón)""},{""tags"":""Ucrania""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""},{""tags"":""Rusia""},{""tags"":""🛡️ Zonas de conflicto""}]"
1682202685-5,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Una persona resulta herida por una explosión de un auto en Melitópol | Video3 de abril51,https://sputniknews.lat/20230403/una-persona-resulta-herida-por-una-explosion-de-un-auto-en-melitopol-1137653697.html,Una persona resulta herida por una explosión de un auto en Melitópol | Video,"La explosión de un auto en la ciudad de Melitópol, en la región rusa de Zaporozhie, dejó una persona herida que está recibiendo tratamiento médico, informó la administración local.","[{""body-text"":""Un representante de los servicios de emergencia de la región informó a Sputnik que la explosión hirió a Maxim Zubarev, que hasta hace poco dirigía la administración del pueblo Akímovka. Aún no hay información sobre la gravedad de las heridas sufridas por Zubarev.""},{""body-text"":""Sin embargo, la publicación no especifica el estado del herido.""},{""body-text"":""Los servicios de emergencia están trabajando en el lugar del accidente.""}]",[],06:02 GMT 03.04.2023,Internacional,"[{""tags"":""Internacional""},{""tags"":""Zaporozhie""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""},{""tags"":""Rusia""},{""tags"":""Ucrania""},{""tags"":""🛡️ Zonas de conflicto""},{""tags"":""🌍 Europa""}]"
1682202688-6,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Kiev recibe el primer tramo de 2.700 millones de dólares del FMI3 de abril61,https://sputniknews.lat/20230403/kiev-recibe-el-primer-tramo-de-2700-millones-de-dolares-del-fmi-1137675432.html,Kiev recibe el primer tramo de 2.700 millones de dólares del FMI,"MOSCÚ (Sputnik) — Ucrania recibió el primer tramo de 2.700 millones de dólares del Fondo Monetario Internacional (FMI) en el marco de un nuevo programa de financiación, comunicó el director del Banco Nacional del país, Andréi Pishni.","[{""body-text"":""El 31 de marzo, el consejo ejecutivo del FMI aprobó un programa de préstamo de 15.600 millones de dólares para Kiev por un plazo de cuatro años.""},{""body-text"":""Se trata del mayor préstamo para Ucrania y el primer paquete de financiación significativo del FMI para un país implicado en un conflicto.""},{""body-text"":""Numerosos países condenaron la operación militar especial que Rusia lanzó en Ucrania el 24 de febrero de 2022 y apoyan a Kiev con suministros de armas, donaciones, ayuda humanitaria y sanciones contra Moscú.""}]","[{""quote-text"":""\""Ucrania ha recibido el primer tramo del FMI en el marco de un nuevo programa de financiación ampliada. Se trata de 2.000 millones de derechos especiales de giro, lo que equivale a unos 2.700 millones de dólares\"", escribió Pishni en la red social Facebook (proscrita en Rusia por extremista).""}]",18:50 GMT 03.04.2023,Defensa,"[{""tags"":""Defensa""},{""tags"":""Fondo Monetario Internacional (FMI)""},{""tags"":""Ucrania""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""},{""tags"":""📰 Suministro de armas a Ucrania""},{""tags"":""🛡️ Zonas de conflicto""}]"
1682202692-7,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,"Ecuador: se acerca el juicio político a Lasso, quien tiene un ""as bajo la manga""",https://sputniknews.lat/20230403/ecuador-se-acerca-el-juicio-politico-a-lasso-quien-tiene-un-as-bajo-la-manga-1137678980.html,"Ecuador: se acerca el juicio político a Lasso, quien tiene un ""as bajo la manga""","Guillermo Lasso, presionado por el caso de corrupción Gran Padrino, autorizó una polémica medida sobre el porte de armas ciudadana mientras continúan los cuestionamientos a su liderazgo. Esta y otras noticias en 'En órbita.","[{""body-text"":""El presidente de Ecuador, Guillermo Lasso, confirmó que se someterá al juicio político en su contra, por el presunto delito de peculado del que se lo acusa.""},{""body-text"":""El mandatario no descarta utilizar el procedimiento de la \""muerte cruzada\"" para disolver el Parlamento, es decir a recurrir al artículo 148 de la Constitución.""},{""body-text"":""Este otorga la facultad presidencial de disolver la Asamblea Nacional con el fin de dar paso a elecciones generales anticipadas.""},{""body-text"":""Lasso señaló que el país merece saber la verdad de que su presidente actuó correctamente y que tiene la entereza de mostrarle la verdad.""},{""body-text"":""Asimismo, cuestionó que se le pretenda enjuiciar políticamente por un contrato firmado en 2018, tres años antes de su llegada a la Presidencia.""},{""body-text"":""\""En la Asamblea General, más allá de abordar el asunto del posible peculado del presidente, es probable que legisladores aborden las inconsistencias de la gestión de Gobierno, como la inseguridad o la falta de servicios públicos\"", dijo a En Órbita el analista ecuatoriano Edison Pérez.""},{""body-text"":""El entrevistado explicó que Lasso puede ser destituido en caso de que la Asamblea obtenga 92 votos positivos (de un total de 137) en el día de la sesión.""},{""body-text"":""A criterio del analista, el partido político de Lasso (Movimiento CREO), como también parte de la derecha, \""han perdido toda injerencia política en el territorio, como revelaron los resultados de la elección de febrero, incluido un referendo que fracasó\"".""},{""body-text"":""Por otra parte, este último fin de semana, Lasso anunció la autorización para la \""tenencia y porte de armas de uso civil para defensa personal” con requisitos puntuales.""},{""body-text"":""El mandatario calificó la medida como \""urgente para combatir al enemigo común nacional: la delincuencia, el narcotráfico y el crimen organizado\"".""},{""body-text"":""La Confederación de Nacionalidades Indígenas del Ecuador (Conaie) rechaza la propuesta del Ejecutivo, al cual responsabiliza del aumento de la violencia en el país.""},{""body-text"":""\""Vía Twitter, Lasso expresó que esta es una guerra entre ciudadanos y delincuentes. Desplaza la responsabilidad que le compete al Estado con la ciudadanía. (...) El Gobierno ha combatido la inseguridad solo con estados de excepción. En lo que va del primer trimestre de 2023, los índices de inseguridad son alarmantes\"", afirmó Pérez.""},{""body-text"":""En esta edición de En órbita también abordamos —entre otros temas— la confirmación del ingreso de Finlandia a la Organización del Tratado del Atlántico Norte (OTAN), previsto para este martes 4 de abril.""},{""body-text"":""En otro orden, Moscú acusó a los servicios de inteligencia de Ucrania por el atentado terrorista que mató a un corresponsal de guerra ruso en San Petersburgo e hirió a 32 personas.""},{""body-text"":""En Uruguay En órbita se transmite por Radio M24 (frecuencia 97.9 de Montevideo y 102.5 de Maldonado), lunes y miércoles a las 19 horas y sábados a las 12 horas.""},{""body-text"":""En Bolivia, por Radio Illimani - Patria Nueva (94.3 FM para todo el país y 93.7 FM en Cochabamba), de lunes a viernes de 4:30 a 5:30 horas. En Radio Kawsachun Coca (FM 99.1 de Cochabamba y FM 99.9 Trópico), a las 20 horas.""}]",[],22:00 GMT 03.04.2023,En órbita,"[{""tags"":""En órbita""},{""tags"":""Guillermo Lasso""},{""tags"":""Finlandia""},{""tags"":""Ecuador""},{""tags"":""Pachakutik""},{""tags"":""OTAN""},{""tags"":""📰 Paro Nacional en Ecuador (2022)""},{""tags"":""Elecciones presidenciales en Ecuador (2021)""},{""tags"":""Policía de Ecuador""},{""tags"":""Asamblea Nacional de Ecuador""},{""tags"":""Parlamento de Ecuador""},{""tags"":""Confederación de Nacionalidades Indígenas de Ecuador (Conaie)""},{""tags"":""Ucrania""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""}]"
1682202694-8,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,En órbita,https://sputniknews.lat/radio_en_orbita/,null,null,[],[],null,null,[]
1682202697-9,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,Neonazis de Azov crean su propia reliquia: un tubo con las cenizas de uno de sus comandantes | Foto4 de abril117,https://sputniknews.lat/20230404/neonazis-del-azov-crean-su-propia-reliquia-un-tubo-con-las-cenizas-de-uno-de-sus-comandantes-1137697643.html,Neonazis de Azov crean su propia reliquia: un tubo con las cenizas de uno de sus comandantes | Foto,"Un tubo que contiene las cenizas del comandante Nikolái Kravchenko, que era el jefe de la escuela de ideología de Azov*, fue oficializado como reliquia del batallón neonazi. Desde Rusia han señalado sin cesar que una de las tareas de la operación especial es la desnazificación de Ucrania y que el neonazismo representa una amenaza al país.","[{""body-text"":""En las siguientes imágenes aparecen unos graduados de esta escuela rindiendo homenaje a las cenizas de Kravchenko, veterano del regimiento de Azov.""},{""body-text"":""El batallón Azov surgió como una unidad de voluntarios de ideología ultranacionalista radical tras el golpe de Estado que se produjo en Ucrania en febrero de 2014 y luego pasó a formar parte de la Guardia Nacional de ese país. Los combatientes de este batallón están involucrados en crueles torturas y asesinatos. Para los residentes de Donbás, este batallón neonazi se convirtió en un símbolo del infierno y del terror durante muchos años.""},{""body-text"":""Uno de los combatientes neonazis incluso declaró que \""Hitler lo hizo todo bien\"" y llamó a \""asfixiar en cámaras de gas\"" a los habitantes de Donbás y al pueblo ruso. Otro soldado neonazi, capturado como prisionero de guerra, admitió haber profanado el cadáver de un militar de la República Popular de Donetsk.""},{""body-text"":""Desde Rusia señalaron que los crímenes neonazis contra los civiles en Ucrania son una limpieza étnica, acciones de castigo. Agregaron que al apoyar a Kiev, los países occidentales están normalizando el nazismo. El presidente de Rusia, Vladímir Putin, señaló que en ningún lugar del mundo se promueve el nazismo a nivel estatal como en Kiev.""},{""body-text"":""* prohibido en Rusia por extremista y terrorista.""}]",[],12:20 GMT 04.04.2023,Neonazismo en Ucrania,"[{""tags"":""Neonazismo en Ucrania""},{""tags"":""Ucrania""},{""tags"":""🛡️ Zonas de conflicto""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""},{""tags"":""Azov (batallón)""}]"
1682202700-10,https://sputniknews.lat/racion-rus-d-dsmilitrizcion-y-dsnzificcion-d-ucrni/,EEUU aprueba nuevo paquete de ayuda militar para Ucrania de 2.600 millones de dólares4 de abril88,https://sputniknews.lat/20230404/eeuu-aprueba-nuevo-paquete-de-ayuda-militar-para-ucrania-de-2600-millones-de-dolares-1137723383.html,EEUU aprueba nuevo paquete de ayuda militar para Ucrania de 2.600 millones de dólares,"El Gobierno de Estados Unidos anunció un nuevo paquete de ayuda militar para Ucrania valuado en más 2.600 millones de dólares, y el cual incluye municiones para los sistemas de misiles HIMARS.","[{""body-text"":""El Departamento de Estado de EEUU informó a través de un comunicado de prensa este nuevo paquete militar, que también incluye municiones para los sistemas de defensa aérea Patriot y NASAMS, así como municiones y misiles antitanques usados por la Infantería de Vehículos de Combate Bradley, prometidos por Washington a Kiev.""},{""body-text"":""De los 2.600 millones de dólares que se incluye en este paquete militar, 2.100 millones forman parte de los fondos de la Iniciativa de Asistencia de Seguridad para Ucrania, creado para equipo de defensa militar, y los 500 millones de dólares restantes salieron directamente de las reservas estadounidenses.""},{""body-text"":""En un comunicado aparte, el Pentágono sostuvo que, desde febrero de 2022, EEUU ha otorgado más de 35.000 millones de dólares en ayuda militar para Kiev.""},{""body-text"":""Según estimaciones del Instituto Kiel, Washington ha otorgado más de 77.000 millones de dólares a Ucrania, entre apoyo militar, humanitario y financiero.""}]",[],21:39 GMT 04.04.2023,Internacional,"[{""tags"":""Internacional""},{""tags"":""EEUU""},{""tags"":""Ucrania""},{""tags"":""Washington""},{""tags"":""📰 Operación rusa de desmilitarización y desnazificación de Ucrania""},{""tags"":""📰 Conflicto en el este de Ucrania (2014-2022)""}]"
