_,id,title,photo,date,creator,left,broadcast,verified,megagroup,restricted,signatures,min,scam,has_link,has_geo,slowmode_enabled,call_active,call_not_empty,fake,gigagroup,noforwards,join_to_send,join_request,forum,access_hash,username,restriction_reason,admin_rights,banned_rights,default_banned_rights,participants_count,usernames
Channel,1640123658,Rusia en España,"{'_': 'ChatPhoto', 'photo_id': 5820922932812167211, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcd\xfd\xdf\x93\xfe\xdd\x14QZ\xd8\x93'}",2022-02-26 01:07:23+00:00,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-4960720562270008593,EmbajadaRusaEs,[],,,,15261,[]
Channel,1572209869,Cancillería de Rusia,"{'_': 'ChatPhoto', 'photo_id': 5303033899359783361, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xcd\xfd\xdf\x93\x9e7zw\xa2\x8a+k\x12\x7f'}",2022-03-22 11:25:55+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7328409993038786644,MAERusia,[],,,,7779,[]
Channel,1805758411,Albatrops 🐥,"{'_': 'ChatPhoto', 'photo_id': 5810016937105800342, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xad!\x88[\x82\x1b\xf7\xb9\xc9\xe0\xf4\xa2\x8a+;\x1b\xb94\xcf'}",2022-11-24 00:36:36+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-4855538959144356133,albatrops,[],,,,1110,[]
Channel,1245675790,Alena Rusa 🪆,"{'_': 'ChatPhoto', 'photo_id': 5190935811279930504, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\x92?\xdey\xa0\x0e\x17\x07\x9a(\xa2\x9c^\xe1$\x7f'}",2021-02-12 07:33:30+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-888574577384363629,rusa_alena,[],,,,10418,[]
Channel,1761791251,ROKOT | TORMENTA,"{'_': 'ChatPhoto', 'photo_id': 5344059207927839754, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xacg\xb7\xd8\x0e\xceq\xd3\x02\x8a(\xa4[?'}",2022-03-30 10:50:54+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2542597599420331592,surf_noise_sp,[],,,,5666,[]
Channel,1301591875,Euskal Herria-Donbass Elkartasun Komitea,"{'_': 'ChatPhoto', 'photo_id': 29978137742913051, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xa3&\xdf#\x90p\x07\x07\xd6\x8a(\xa1\x177\xa9'}",2018-04-30 09:12:27+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7131160163981136737,ehdonbass,[],,,,1310,[]
Channel,1662257560,Irina 🇷🇺,"{'_': 'ChatPhoto', 'photo_id': 5910992644731943782, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08k\xb5\xb6cPTD\x06N?\xbb\x8f\xe7E\x14RC?'}",2022-04-13 15:34:14+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8821410694329539377,Irinamar_Z,[],,,,45715,[]
Channel,1351886959,Victor Ternovsky,"{'_': 'ChatPhoto', 'photo_id': 5447214688766116945, 'dc_id': 2, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08<\xf0N\xe6s\x93\x8d\xbc\xf6\xa2\x8a(\xb0\xd9'}",2021-04-28 04:29:58+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1614663345573555710,victorternovsky,[],,,,18415,[]
Channel,1704644698,Victor Ternovsky chat,{'_': 'ChatPhotoEmpty'},2022-01-25 14:15:23+00:00,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2186930501148322379,victor_ternovsky,[],,,"{'_': 'ChatBannedRights', 'until_date': datetime.datetime(2038, 1, 19, 3, 14, 7, tzinfo=datetime.timezone.utc), 'view_messages': False, 'send_messages': False, 'send_media': False, 'send_stickers': False, 'send_gifs': False, 'send_games': False, 'send_inline': False, 'embed_links': False, 'send_polls': False, 'change_info': True, 'invite_users': False, 'pin_messages': True, 'manage_topics': False}",611,[]
Channel,1715579305,Guillermo Rocafort,"{'_': 'ChatPhoto', 'photo_id': 5904433319137884960, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08I$\x11\xdd\x89B\x92\xd9\xf5\xc7n\x94QE\x16\x03'}",2023-01-10 17:12:03+00:00,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-6555485233681056343,guillermorocafort,[],,,,77,[]
Channel,1277138224,Al Otro Lado de la frontera de Ucrania,"{'_': 'ChatPhoto', 'photo_id': 5825885415335377113, 'dc_id': 4, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08r\xde3)\xda\x01#\xb1\x07\x8a(\xa2\xb3f\xabT\x7f'}",2019-12-27 23:01:03+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-5783096083281742512,BerdaderaH,[],,,,18738,[]
Channel,1703492153,Frente del Este,"{'_': 'ChatPhoto', 'photo_id': 4936400669041077256, 'dc_id': 1, 'has_video': False, 'stripped_thumb': b'\x01\x08\x08\xaf$\xc4\xb89!\x8f~\xd4QEH\xcf'}",2022-02-18 19:33:45+00:00,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,5019419467450924413,FrentedelEste,[],,,,9862,[]
