link_href,formatted_text,date,title,formatted_tags,China,United States,LIO,France,Germany,India,Iran,NIO,European Union,Russia,Ukraine,United Kingdom,Donbass,Taiwan,Poland,Baltic States,Japan
https://sputniknewsbrasil.com.br/20220818/russia-joga-com-tempo-a-seu-favor-ao-realizar-operacao-na-ucrania-de-forma-mais-lenta-diz-analista-24265917.html,"A operaç o russa na ucr nia entrou em seu  dia nesta quintafeira (18 iniciada em  de fevereiro a aç o tem como objetivo a desmilitarizaç o e desnazificaç o do território ucraniano até o momento moscou continua firme em seu propósito e avança principalmente na regi o de donbass.,no entanto a mídia tem apontado que a movimentaç o russa acontece em passos lentos para robinson farinazzo especialista militar e oficial da reserva da marinha do brasil entrevistado pela sputnik brasil o ritmo atende aos objetivos do líder russo vladimir putin o qual teria interesse em fazer a operaç o da forma mais devagar possível importante lembrar que o efetivo militar empregado por moscou nesta operaç o é mínimo eles poderiam pesar a m o muito mais do que est o fazendo o que leva a reforçar essa impress o de que n o se tem pressa para concluir a operaç o mas n o acho de forma nenhuma que a maneira como está sendo conduzida a aç o indique incompet ncia militar est o é usando o tempo ao seu favor analisou o especialista.,o comandante também destaca que na história militar do país passando pelo período de napole o até a invas o alem em  e recentemente a síria moscou sempre soube jogar muito bem com o tempo em suas operaç es.,outro ponto que poderia prolongar a operaç o visto que tornaria a defesa ucraniana mais robusta e ofereceria mais resist ncia investida russa é o volume de armamento e apoio que o ocidente envia para kiev.,no começo deste m s os eua divulgaram o envio de us  bilh o (r ,11 bilh es em ajuda militar para ucr nia no qual será incluído mais muniç o para lançadores múltiplos de foguetes himars conforme noticiado.,com esse novo pacote desde de o começo do conflito em fevereiro washington já enviou us ,8 bilh es (r ,9 bilh es em ajuda militar para kiev segundo o site grid isso sem contar com a ajuda enviada por canadá austrália e países da europa.,entretanto na vis o do especialista esse envio pouco alterará o cenário do conflito uma vez que essas armas deveriam ter sido enviadas em  para que fizessem a diferença.,farinazzo comenta exatamente sobre o sistema de foguetes himars lembrando que quando o mesmo chegou ucr nia as pessoas ficaram animadas no entanto a animaç o já diminuiu visto que por experi ncia se sabe que só o armamento n o muda o cenário militar essas armas apenas empregam um forte efeito de propaganda.,o comandante acredita que o apoio a kiev vai continuar porém sublinha que fora os eua os países que enviam ajuda sofrem uma press o norteamericana para seguirem com os envios.,a europa n o tem mais nada a ganhar com esses envios de armamento a alemanha está perdendo e terá uma enorme contraç o de sua economia por conta disso berlim tinha acesso energia barata e poderia colocar produtos no mercado com em um preço competitivo mas agora com o aumento e escassez do gás isso n o será mais possível na prática o que a europa está conseguindo é perder seu mercado para russos e chineses que est o comprando energia mais barata da rússia examina.,ao mesmo tempo o comandante contextualiza que quem paga a conta é o cidad o europeu comum que ao receber as taxas de energia em casa enxerga um valor a ser pago cada vez mais alto.,neste momento é bastante visível que o conflito entre rússia e ucr nia ultrapassa as fronteiras ucranianas e chega através da crise econ mica a outros países principalmente s naç es europeias.,indagado de o porqu de lideranças locais n o pressionarem kiev para negociar com moscou a fim de cessar o conflito e consequentemente a crise o comandante diz que a europa perdeu a representatividade uma vez que os atuais políticos est o completamente desvinculados do homem médio europeu e s o eleitos para atenderem a uma préagenda.,vejamos o caso do presidente franc s emmanuel macron que é um banqueiro ele n o sabe o valor da passagem de nibus quanto custa o quilo do p o ele foi colocado ali por grandes conglomerados econ micos para atender uma agenda que nada tem a ver com o homem médio franc s explica.,para o especialista a democracia no ocidente em uma forma geral se tornou uma grife porque custa milh es para fazer um deputado um prefeito primeiroministro e esse candidato só vai conseguir o dinheiro para ganhar eleiç es contando com apoio desses grandes grupos que v o cobrar o preço depois e a necessidade do homem médio n o é prioridade.,se a soluç o n o vem através de aliados ucranianos estaria o presidente zelensky a fim de negociar a paz farinazzo acredita que sim mas no atual momento ele n o tem autonomia para negociar uma paz mesmo que queira já que a ucr nia está sendo conduzida pelos players da otan e dos eua.,sobre o ataque ucraniano usina de zaporozhie que agora está sob os cuidados da rússia o comandante considera que se tal aç o continuar haverá uma grande tragédia ali no entanto ressalta que talvez seja esse o efeito desejado.,portanto esses aliados podem estar forçando através de uma tragédia como ataque a uma usina nuclear uma comoç o internacional para que se obtenha um desfecho minimamente favorável para essa aliança sendo essa.nnuma aposta bastante arriscada e irresponsável detalha.,de acordo com dados do o ministério da defesa russo publicados ontem (17 no total 267 avi es ucranianos e  helicópteros 1.757 veículos aéreos n o tripulados 366 sistemas de mísseis antiaéreos 4.340 tanques e outros veículos blindados de combate 800 sistemas de foguetes de lançamento múltiplo 3.312 artilharias de campanha e morteiros e .938 unidades de veículos militares especiais foram destruídos durante a operaç o russa na ucr nia.",14:39 18.08.2022,"Rússia usa tempo a seu favor ao realizar operação na Ucrânia em ritmo lento, diz militar brasileiro","Operaç o militar especial russa,exclusiva,rússia,ucr nia,donbass,eua,otan,frança,alemanha,operaç o militar",NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220818/ucrania-bombardeia-regiao-de-zaporozhie-novamente-maior-usina-nuclear-da-europa-nao-foi-afetada-24273039.html," sputnik ele confirmou que a usina nuclear que fica na cidade e que é a maior da europa n o foi atingida pelos ataques ucranianos.,as autoridades da cidade confirmaram as informaç es sobre o bombardeio e pediram aos moradores que se deslocassem para um local seguro.,informaç es sobre os locais das explos es bem como vítimas e danos infraestrutura civil est o sendo especificadas disse a administraç o da cidade em comunicado.,hoje (18 o presidente da turquia recep tayyip erdogan disse que expressou preocupaç o sobre a usina ao presidente da ucr nia com quem se encontrou juntamente ao secretáriogeral da onu antónio guterres.,a central nuclear de zaporizhie localizada na margem esquerda do rio dniepre é a maior da europa em número de unidades e produç o.,desde março a usina está sob o controle dos militares russos nas últimas semanas a rússia acusou repetidamente a ucr nia de bombardear a usina.",20:22 18.08.2022,Ucrânia bombardeia região de Zaporozhie novamente; maior usina nuclear da Europa não foi afetada,"Operaç o militar especial russa,zaporozhie,rússia,forças armadas da rússia,exército da rússia,leste da ucr nia,ucr nia,nacionalistas ucranianos,exército da ucr nia,forças armadas da ucr nia,marinha da ucr nia,tens o na ucr nia,conflito ucraniano,europa,operaç o militar especial",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/sistema-de-seguranca-da-central-nuclear-de-zaporozhie-e-reforcado-24275415.html,"Em um comunicado imprensa rogov destacou que a segurança da usina foi reforçada embora n o seja possível divulgar todos os detalhes estamos bem preparados pois tudo pode ser esperado do regime vladimir zelensky comentou.,o sistema de proteç o da central nuclear de zaporozhie foi fortalecido devido a uma possível tentativa do exército ucraniano de atacar a instalaç o disse rogov sputnik.,mais cedo o representante oficial do ministério da defesa da rússia o tenentegeneral igor konashenkov disse que o regime de kiev estava preparando uma provocaç o na usina nuclear de zaporozhie durante uma visita ucr nia do secretáriogeral da organizaç o das naç es unidas (onu antónio guterres.,o tenentegeneral igor kirillov chefe das forças de defesa de radiaç o química e biológica disse na quintafeira (18 que devido s aç es de kiev na usina nuclear de zaporozhie pode surgir uma situaç o semelhante ao que aconteceu em chernobyl e fukushima.,em caso de falha dos geradores a diesel de reserva e das bombas móveis em caso de situaç o de emerg ncia o núcleo pode superaquecer.,como resultado a destruiç o dos reatores na maior usina nuclear da europa vai liberar subst ncias radioativas na atmosfera por centenas de quil metros desse igor kirillov.,a usina nuclear de zaporozhie está localizada na margem esquerda do rio dniepre perto da cidade de energodar ela está desde março sob a proteç o dos militares russos para prevenir o vazamento de material radioativo segundo o ministério das relaç es exteriores da rússia.,desde o início de agosto as tropas ucranianas intensificaram o bombardeio contra a usina nuclear segundo vladimir rogov os militares das forças armadas ucranianas t m usado mísseis guiados e projéteis de fabricaç o ocidental durante os ataques.,o representante permanente da rússia na onu vasily nebenzya apontou que se as forças russas deixassem a usina ela ficaria vulnerável aç o de kiev e qualquer tipo de provocaç o para culpar a rússia poderia ser feita.",00:59 19.08.2022,Sistema de segurança da central nuclear de Zaporozhie é reforçado,"Operaç o militar especial russa,ucr nia,leste da ucr nia,exército da ucr nia,forças armadas da ucr nia,tens o na ucr nia,europa,zaporozhie,rússia,igor kirillov",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/equipamento-das-tropas-ucranianas-se-reduziu-em-dezenas-de-vezes-diz-militar-de-zaporozhie-24275922.html,"Segundo o comandante da unidade troya vladimir novikov antes o nível de equipamento dos militares ucranianos (drones sensores térmicos e outros dispositivos era muito alto.,o comandante acrescentou que os militares do exército ucraniano utilizavam c meras camufladas nas florestas.,em  de fevereiro a rússia começou uma operaç o especial militar de desnazificaç o e desmilitarizaç o da ucr nia até o momento o exército russo junto com as forças das repúblicas de donetsk e lugansk libertou completamente a república popular de lugansk e uma parte significativa da república de donetsk inclusive volnovakha mariupol e svyatogorsk bem como toda a regi o de kherson áreas de zaporozhie no mar de azov e uma parte da regi o de carcóvia.",03:40 19.08.2022,"Equipamento das tropas ucranianas se reduziu em dezenas de vezes, diz militar de Zaporozhie","Operaç o militar especial russa,europa,ucr nia,tens o na ucr nia,conflito,rússia,zaporozhie",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/foreign-affairs-caso-russia-venca-na-ucrania-eua-podem-interferir-24277013.html,"A publicaç o descreve vários cenários de uma possível interfer ncia norteamericana segundo o autor caso a situaç o n o seja resolvida no espaço de um ano washington pode pensar em enviar pequenos contingentes de tropas terrestres para ajudar a ucr nia.,a interfer ncia por parte dos eua será mais provável se o exército ucraniano começar a se desmoronar e a rússia tiver uma vitória convincente neste caso tendo em conta as intenç es da administraç o biden de n o deixar que tal aconteça os eua poderiam tentar reverter a situaç o tomando parte nos combates de forma direta.,o cenário definitivo da interfer ncia norteamericana implica uma escalada n o deliberada washington sem o desejar é arrastado para o conflito militar através de um acontecimento inesperado que se desenvolve em uma espiral ascendente escreve mearsheimer.,anteriormente o diplomata norteamericano chas w freeman no seu artigo para o the grayzone afirmou que os eua est o conduzindo na ucr nia uma guerra n o declarada contra o kremlin a fim de manter a sua hegemonia no mundo conforme freeman as aç es do ocidente n o deixaram moscou outra escolha sen o usar a força nesse contexto os eua v o lutar contra a rússia até o último ucraniano.,o exassessor do secretário de defesa norteamericano douglas macgregor por sua vez disse que washington ao longo de dez anos tem inundado kiev com armas antagonizandoa contra moscou por isso segundo douglas n o é de surpreender que tudo tenha resultado na escalada do conflito.,desde  de fevereiro a rússia tem conduzido uma operaç o militar especial para desnazificar e desmilitarizar a ucr nia o presidente russo vladimir putin declarou como seu objetivo defender as pessoas que ao longo dos oito anos t m sofrido intimidaç es e genocídio por parte dp regime de kiev segundo putin o objetivo final da operaç o é libertar donbass e criar condiç es que garantam a segurança da própria rússia.",06:23 19.08.2022,"Foreign Affairs: caso Rússia vença na Ucrânia, EUA podem interferir","Operaç o militar especial russa,eua,rússia,operaç o militar especial,crise ucraniana,combates,kiev",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/ministerio-defesa-russia-centros-comando-depositos-destruidos-24277825.html,"Unidades da defesa antiaérea russa interceptaram  foguetes do sistema himars na regi o de kherson segundo o ministério da defesa russo.,ele acrescentou que nas últimas  horas os sistemas de defesa aérea russos atingiram  drones ucranianos nas regi es de carcóvia e nikolaev.,também foram destruídos seis centros de comando das forças armadas da ucr nia na república popular de donetsk (rpd além de militares e equipamento outros alvos atingidos foram quatro depósitos de armas e muniç es de foguetes e artilharia perto das localidades de kurakhovo e dachnoe na república popular de donetsk belaya krinitsa na regi o de kherson e zaliman na regi o de carcóvia e um obuseiro m777 fabricado nos eua na regi o de zaporozhie disse o ministério russo.,como parte da guerra contrabateria foram suprimidos dois pelot es dos sistemas lançadores múltiplos de foguete smerch perto de vasyukovka na república popular de donetsk e orekhov na regi o de zaporozhie e um pelot o de sistemas de artilharia autopropulsionada glozdika perto de dzerzhinsk continuou o órg o do governo russo.,de acordo com o ministério também foram atacados dois pelot es de lançadores múltiplos de foguetes grad perto das localidades de mayaki e soledar dois pelot es de obuseiros giatsintb e tr s pelot es de d30 na república popular de donetsk regi o de kherson e regi o de nikolaev.,as forças armadas da rússia eliminaram igualmente mais de  militares ucranianos da  brigada mecanizada perto da localidade de stary saltov na regi o de carcóvia relatou o representante da defesa russa adicionando que outro ataque de alta precis o perto de dorozhnyanka na regi o de zaporozhie atingiu um depósito de armas e equipamentos militares da  brigada mecanizada ucraniana destruindo mais de  veículos blindados.,enquanto isso o grupo nacionalista kraken executou  soldados ucranianos que fugiam das tropas russas pertencentes destroçada  brigada de infantaria motorizada da ucr nia.,a fim de deter o p nico e intimidar o pessoal das forças armadas da ucr nia nacionalistas da unidade militar kraken fuzilaram simbolicamente  militares da  brigada que fugiram de suas posiç es.,a aviaç o russa destruiu mais de  militantes dos grupos azov (organizaç o proibida na rússia como terrorista e aydar reportou o ministério da defesa.,armas de alta precis o da força aeroespacial da rússia atingiram pontos de destacamento temporário das unidades nacionalistas azov perto de nikolaevka e do grupo aydar perto de soledar na república popular de donetsk mais de  nacionalistas e  peças de equipamento militar foram destruídos ressaltou.,desde o início da operaç o militar especial detalhou o ministério da defesa da rússia foram eliminados  avi es do adversário 148 helicópteros 1.770 veículos aéreos n o tripulados 366 sistemas de defesa antiaérea 4.347 tanques e outros veículos de combate blindados 807 lançadores múltiplos de foguetes 3.315 peças de artilharia de campanha e morteiros e .958 unidades de veículos militares especiais.",06:58 19.08.2022,MD da Rússia: 6 centros de comando ucranianos e 4 depósitos militares atingidos pelas forças russas,"Operaç o militar especial russa,europa,rússia,ucr nia,kherson,ministério da defesa,ministério da defesa da rússia,tochkau,carcóvia,eua,república popular de lugansk,república popular de donetsk,zaporozhie,smerch,grad,forças armadas,forças armadas da ucr nia,azov",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/eua-anunciam-nova-ajuda-militar-a-ucrania-e-enviarao-pela-1-vez-veiculos-resistentes-a-minas-24286711.html,"Nesta sextafeira (19 a defesa norteamericana anunciou o envio de uma nova remessa militar de ajuda ao governo ucraniano no valor de us  milh es (r  bilh es pela primeira vez a administraç o biden também mandará ao país do leste europeu veículos resistentes a minas e protegidos contra emboscadas.,ao mesmo tempo o combo incluirá  obuseiros de  mm e .000 muniç es de artilharia para atender o novo lote de obuses 15 drones scaneagle 1.000 mísseis javelins 1.500 mísseis tow 2.000 cartuchos de muniç o antiblindagem 50 veículos blindados humvee entre outros equipamentos nnsobre veículos aéreos n o tripulados além do scaneagle os eua devem entregar um conjunto de sistemas de drones phoenix ghost para kiev no final deste m s e manter a entrega de forma contínua afirmou o funcionário.,sobre o phoenix ghosts o conceito aqui é para uma entrega contínua ent o estaremos entregando a partir do final deste m s mas no futuro podemos reabastecer seus suprimentos e garantir que eles tenham phoenix ghosts suficientes m o regularmente.,o funcionário também destacou que o governo norteamericano tem medidas de responsabilizaç o para rastrear tais pacotes de armas e equipamentos enviados para território ucraniano.,temos medidas de responsabilidade muito muito detalhadas para garantir que estamos rastreando desde o momento em que temos autorizaç o para fornecer uma capacidade até o momento em que movemos essa capacidade via comando de transporte dos eua para seu destino para atravessar a fronteira com a ucr nia e trabalhando com os ucranianos também temos informaç es sobre como eles est o implantando essas capacidades como est o usandoas e como as est o consumindo disse o oficial de defesa.,a operaç o russa na ucr nia entra em seu  dia com o avanço progressivo de moscou princpalmente na regi o de donbass.",14:28 19.08.2022,"EUA anunciam nova ajuda militar à Ucrânia e enviarão, pela 1ª vez, veículos resistentes a minas","Operaç o militar especial russa,eua,ajuda militar,ucr nia,operaç o militar,rússia,drones,veículos blindados",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/tropas-ucranianas-atacaram-9-assentamentos-com-mais-de-80-projeteis-diz-milicia-popular-de-donetsk-24291832.html,"Na quintafeira (18 o lado ucraniano disparou mais de  projéteis segundo a milícia popular da rpd.,segundo o ministério da defesa da rússia uma ofensiva do exército russo contra posiç es ucranianas na área de mazanovka na república de donetsk na quintafeira (18 destruiu mais de  nacionalistas.,com o ataque da força aeroespacial russa na zona de avdeevka o  batalh o da  brigada ucraniana perdeu mais de  de seu pessoal.,a rússia iniciou a operaç o militar especial em  de fevereiro com o objetivo de desmilitarizar e desnazificar a ucr nia após pedido de ajuda das repúblicas populares de donetsk (rpd e lugansk (rpl para combater ataques de tropas ucranianas.,a miss o segundo o ministério da defesa russo tem como alvo apenas a infraestrutura militar da ucr nia.,além disso as forças armadas da rússia t m acusado militares ucranianos de usar métodos terroristas nos combates como fazer civis de escudo humano e se alojar em construç es n o militares.",18:10 19.08.2022,"Tropas ucranianas atacaram 9 assentamentos com mais de 80 projéteis, diz Milícia Popular de Donetsk","Operaç o militar especial russa,grad,mísseis,ataque,bombardeio,república popular de donetsk,milícia popular de donetsk,forças armadas da ucr nia,projéteis,donetsk",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/ucrania-tenta-atacar-melitopol-na-regiao-de-zaporozhie-e-sistema-de-defesa-aerea-impede-24294963.html,"Correspondente da sputnik no local registrou que foram ouvidas quatro explos es e foi possível ver no céu um rastro dos mísseis de defesa aérea.,autoridades locais afirmaram que o sistema de defesa aérea da rússia derrubou dois mísseis perto da cidade.,a regi o de zaporozhie está sob controle do exército russo e t m sofrido com diversos bombardeios e ataques de kiev no último sábado (13 vários mísseis foram disparados contra a cidade.,a ofensiva ucraniana inclui provocaç es nos arredores da usina nuclear de zaporozhie a maior da europa.,desde o início de agosto as tropas ucranianas intensificaram o bombardeio contra a usina que está sob a proteç o dos militares russos para prevenir o vazamento de material radioativo segundo o ministério das relaç es exteriores da rússia.,segundo rogov os militares ucranianos t m usado mísseis guiados e projéteis de fabricaç o ocidental durante os ataques.,o representante permanente da rússia na onu vasily nebenzya apontou que se as forças russas deixassem a usina ela ficaria vulnerável aç o de kiev e qualquer tipo de provocaç o para culpar a rússia poderia ser feita.",19:39 19.08.2022,"Ucrânia tenta atacar Melitopol, na região de Zaporozhie, e sistema de defesa russo impede","Operaç o militar especial russa,ucr nia,tens o na ucr nia,conflito ucraniano,melitopol,rússia,zaporozhie,usina nuclear",NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220819/portugal-e-contra-a-proibicao-da-entrada-de-russos--24296979.html,"De acordo com uma declaraç o do ministério dos negócios estrangeiros de portugal ao portal eco (economia online o país é contra as proibiç es de ingresso de turistas russos na ue.,o governo portugu s apontou que ainda participará da discuss o sobre o assunto em  de agosto ao lado de outros países do bloco.,alguns países da ue incluindo a república checa estónia letónia litu nia roménia polónia e holanda limitaram a emiss o de vistos a cidad os russos.,os pedidos v m aumentando para que a comiss o europeia proíba a entrada de turistas russos na área sem fronteiras da ue em resposta operaç o especial russa na ucr nia.,a frança e a alemanha até agora se recusaram a apoiar o báltico e alguns países da europa central por sua iniciativa citando o princípio da liberdade de viagem o assunto estará na agenda da próxima reuni o ministerial da ue que acontecerá em praga nos dias  e  de agosto.,nesta semana o chanceler alem o olaf scholz disse que é difícil imaginar que os vistos para russos sejam proibidos enquanto isso políticos da est nia e da finl ndia ecoaram a exig ncia de vladimir zelensky presidente da ucr nia de parar de emitir vistos de turista para todos os russos.,moscou chamou a medida proposta de delirante e irracional e disse que a ideia lembra os sentimentos que foram ouvidos literalmente  anos atrás de certos países no coraç o da europa como afirmou o portavoz do kremlin dmitry peskov.,a representante do ministério das relaç es exteriores da rússia maria zakharova também apontou que uma proibiç o completa de vistos para viajantes russos iria contra as próprias regras e obrigaç es da ue que afirmam que a entrada no bloco n o pode ser negada com base na nacionalidade.",22:41 19.08.2022,Portugal é contra a proibição da entrada de russos na UE,"Operaç o militar especial russa,vistos,regime de vistos,passaporte,passaporte russo,europa,europa central,uni o europeia,conselho da uni o europeia,rússia,russos,turistas,turismo,ministério dos negócios estrangeiros de portugal,portugal",NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220820/md-ataques-das-forcas-russas-em-2-regioes-provocaram-mais-de-200-baixas-nas-tropas-ucranianas-24298066.html,"Segundo especifica o comunicado da pasta a força aeropespacial russa eliminou quase completamente um batalh o ucraniano em dnepropetrovsk resultando em cerca de  nacionalistas mortos e mais de  feridos.,na regi o de carcóvia o ataque contra posiç es do batalh o kraken resultou na aniquilaç o de mais de  combatentes inclusive até  mercenários dos estados unidos.,no norte de carcóvia foram eliminados até  combatentes ucranianos bem como oito unidades de equipamento militar especial em outras áreas da república de donetsk as forças russas destruíram ainda dois tanques e sete veículos especiais do adversário.,nas últimas  horas a aviaç o russa junto com as tropas de mísseis e artilharia destruiu um lançador múltiplo de foguetes bukm1 e uma estaç o de radar.,além disso o exército russo atingiu mais sete centros de comando dos militares ucranianos.",03:33 20.08.2022,"Cerca de 20 mercenários dos EUA são eliminados em Carcóvia, diz MD da Rússia","Operaç o militar especial russa,rússia,ucr nia,conflito ucraniano,ministério da defesa (rússia),operaç o militar",NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220820/midia-ucrania-perdeu-um-dos-seus-aliados-mais-fieis-24298326.html,"O primeiroministro espanhol pedro sánchez relembra o autor da matéria durante sua visita a kiev em abril prometeu ucr nia uma diversificada ajuda militar porém a cooperaç o entre os dois países n o deu em nada.,conforme relata o especialista madri entregou a kiev várias unidades de artilharia leve um veículo blindado para evacuaç o e alguma quantidade de armas antitanque o jornal el país citando fontes informou recentemente que a espanha pretendia enviar para a ucr nia armamento pesado inclusive dezenas de tanques alem es leopard a4.,em resultado os ucranianos na opini o de gonzálezgallarza parecem perder a crença na espanha.,na semana passada o governo de vladimir zelensky anunciou que espera  blindados m113 pela primeira vez a promessa n o foi mais recebida com a habitual demonstraç o de gratid o sincera da ucr nia os m113 afinal s o veículos da década de  a espanha tem cerca de .000 e de acordo com fontes internas espera descartálos em grande parte diz o artigo.,a posiç o da espanha deve ser uma liç o para outros países que est o prontos em palavras a criticar publicamente a operaç o russa na ucr nia mas na realidade n o t m motivos suficientes para apoiar realmente kiev resumiu o analista.",04:36 20.08.2022,Mídia: Ucrânia perdeu um dos seus 'aliados mais fiéis',"Operaç o militar especial russa,europa,ucr nia,espanha,ajuda militar,aliados,otan,armamento",NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknewsbrasil.com.br/20220820/shoigu-decisao-sobre-operacao-especial-foi-tomada-devido-a-ameacas-inaceitaveis-a-seguranca-russa-24298505.html,"Ao longo de oito anos o regime de kiev cometeu crimes flagrantes contra os cidad os das repúblicas populares de donetsk e lugansk milhares de pessoas inocentes inclusive crianças foram mortas ao mesmo tempo iniciouse o aproveitamento do território ucraniano pela aliança atl ntica kiev tomou o rumo de integraç o na otan tudo isso criou ameaças inaceitáveis segurança da rússia constatou shoigu.,o ministro russo sublinhou que logo nos primeiros dias da operaç o as forças armadas da rússia encararam uma tática desumana das formaç es ucranianas os soldados do exército ucraniano e dos batalh es nacionalistas se escondem nas áreas residenciais usam a populaç o civil como escudo vivo utilizam tanto casas como instalaç es da infraestrutura social e energética como fortificaç es e posiç es de fogo enfrentando uma derrota em terra e se retirando eles deliberadamente destroem tudo ao redor para que nada reste para os civis durante a grande guerra pela pátria os nazistas alem es usaram a mesma tática disse o ministro.,muitos ucranianos n o aceitaram a política das autoridades de kiev destinada a reabilitar o nazismo de incitaç o ao ódio em relaç o a tudo o que é associado com a rússia continuou sergei shoigu.,isto incluiu os residentes de donbass que n o quiseram acatar o regime governante e as suas aspiraç es nazistas uma operaç o punitiva brutal foi ent o lançada contra eles acrescentou.,além disso o ministro russo comentou o ataque de mísseis realizado por militares ucranianos contra o centro de detenç o em elenovka onde se encontravam combatentes do batalh o azov detidos segundo suas palavras foi uma tentativa de esconder a verdade sobre os crimes cometidos pelos combatentes.",05:02 20.08.2022,Shoigu: decisão sobre operação especial foi tomada devido a ameaças inaceitáveis à segurança russa,"Operaç o militar especial russa,sergei shoigu,ucr nia,rússia,conflito ucraniano,operaç o militar especial",NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
https://sputniknewsbrasil.com.br/20220820/md-russo-evidencias-de-terrorismo-quimico-do-regime-de-kiev-serao-em-breve-enviadas-a-opaq--24300111.html,"De acordo com o ministério da defesa russo a ucr nia usou subst ncias tóxicas contra os militares russos na regi o de zaporozhie.,a entidade militar acrescentou que a fim de revelar as causas do envenenamento os especialistas do instituto principal de pesquisa científica de medicina militar do ministério da defesa russo situado em s o petersburgo realizaram uma análise adicional que confirmou claramente a presença de um veneno org nico de origem artificial toxina botulínica tipo b.,segundo o ministério da defesa a rússia está preparando os documentos que confirmam o terrorismo químico por parte da ucr nia moscou em breve enviará os documentos organizaç o para a proibiç o de armas químicas (opaq).,as evid ncias do terrorismo químico do regime de kiev em breve ser o enviadas opaq através da miss o permanente russa na organizaç o acrescentaram.,além disso conforme o ministério a rússia está efetuando uma investigaç o adicional sobre o envenenamento com subst ncias químicas de combate do chefe da administraç o cívicomilitar da regi o de kherson vladimir saldo.",09:31 20.08.2022,"Evidências de terrorismo químico de Kiev serão em breve enviadas à OPAQ, diz Rússia","Operaç o militar especial russa,opaq,rússia,ucr nia,crise ucraniana,ataque químico",NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO,NO,NO
