link_href,title,date,formatted_text,China,United States,LIO,France,Germany,India,Iran,NIO,European Union,Russia,Ukraine,United Kingdom,Donbass,Taiwan,Poland,Baltic States,Japan
https://sputniknews.lat/20220530/jefe-del-consejo-europeo-la-ue-acuerda-la-prohibicion-parcial-de-las-importaciones-de-petroleo-ruso-1126027601.html,La UE acuerda la prohibición parcial de las importaciones de petróleo ruso,22:09 GMT 30.05.2022, logramos un acuerdo para prohibir la exportación de petróleo ruso a la ue esto cubre enseguida más de dos tercios de las importaciones de petróleo desde rusia cortando una enorme fuente de financiación para su maquinaria bélica tuiteó el sexto paquete de sanciones contra moscú según el jefe del consejo europeo incluye también la desconexión del mayor banco ruso sberbank del sistema swift prohibición de otras tres emisoras estatales rusas así como las medidas contra tres individuos responsables de crímenes de guerra asimismo la ue reducirá sus importaciones al bloque comunitario en un  para finales de  declaró la presidenta de la comisión europea ursula von der leyen aplaudo el acuerdo del consejo europeo de esta noche [30 de mayo sobre las sanciones petroleras contra rusia esto reducirá efectivamente alrededor del  de las importaciones de petróleo de rusia a la ue para finales de año tuiteó von der leyen a su vez mijaíl uliánov representante permanente ruso ante las organizaciones internacionales en viena sostuvo que en este caso moscú encontrará otros importadores cabe destacar que ahora ella [von der leyen contradice sus declaraciones de ayer [30 de mayo un cambio de mentalidad muy rápido demuestra que la ue no está en buena forma escribió uliánov en twitter comentando la publicación de la titular de la ce asimismo los representantes permanentes de la ue realizarán este  de junio los trámites legales sobre un nuevo paquete de sanciones antirrusas anunció charles michel también explicó que el petróleo ruso transportado por oleoducto no entrará en el sexto paquete de sanciones el jefe del consejo europeo detalló que todos los países de la ue salida al mar podrán comprar este petróleo al mismo tiempo michel agregó que se trata de una exención temporal y que los países del bloque comunitario volverán a examinar esa cuestión el embargo petrolero que la unión europea activará contra rusia estipula una excepción temporal para la república checa y hungría dijo el primer ministro de bélgica alexander de croo además una cláusula general permite a los países que enfrentan cortes de suministro en contra de su voluntad comprar el crudo ruso de fuentes distintas a oleoductos según de croo numerosos países condenaron la operación militar que rusia lanzó en ucrania el pasado  de febrero y activaron varias baterías de sanciones individuales y sectoriales con la intención de infligirle a la economía rusa el mayor daño posible para presionar a moscú a detener las hostilidades por primera vez las sanciones incluyen la desconexión parcial de rusia del sistema swift y la inmovilización de las reservas internacionales de su banco central así como el embargo sobre la importación de petróleo ruso por algunos países a principios de mayo el comité de representantes permanentes de la ue (coreper no logró acordar por unanimidad el sexto paquete de sanciones contra rusia propuesto por la comisión europea (ce varios países incluida hungría se pronunciaron en contra de un embargo completo al petróleo ruso dado que ahora son incapaces de reemplazarlo por completo el primer ministro húngaro viktor orban dijo antes de la cumbre que se desarrolla estos  y  de mayo en la capital de la ue que budapest aceptará el sexto paquete solo si se encuentran soluciones para la seguridad energética de hungría por su parte la presidenta de la ce ursula von der leyen admitió que no espera que ese paquete se apruebe en la cumbre de bruselas ,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknews.lat/20220531/japon-da-la-bienvenida-al-acuerdo-de-la-ue-sobre-el-embargo-petrolero-a-rusia-1126038545.html,Japón da la bienvenida al acuerdo de la UE sobre el embargo petrolero a Rusia,05:46 GMT 31.05.2022, el ministro portavoz del gabinete hirokazu matsuno señaló que la comunidad internacional debe demostrar que la invasión rusa de ucrania tiene un alto precio el  de mayo el consejo europeo acordó que el sexto paquete de sanciones contra rusia incluirá el petróleo crudo así como los productos petrolíferos suministrados desde rusia a los estados miembros con una excepción temporal para el petróleo crudo que se suministra por oleoducto la excepción se ha hecho específicamente para la república checa para que pueda comprar ciertos productos refinados durante  meses y para hungría para un corto período que se requiere para adaptar sus instalaciones de refinamiento según el primer ministro belga alexander de croo el presidente del consejo europeo charles michel estimó el  de mayo que las nuevas sanciones afectarán con carácter inmediato el  del petróleo que la ue importa de rusia y el  para finales de  ,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES
https://sputniknews.lat/20220531/vicecanciller-ruso-afirma-que-la-ue-sufre-un-agudo-deficit-de-sentido-comun-1126038951.html,Vicecanciller ruso afirma que la UE sufre un agudo déficit de sentido común,06:54 GMT 31.05.2022, la política de la ue respecto a rusia acusa un agudo déficit de sensatez y raciocinio afirmó ivanov en una entrevista con sputnik el diplomático alegó que bruselas persigue el objetivo político de demostrar a toda costa su solidaridad con el régimen en kiev presionando cada vez más a rusia con sanciones ilegítimas por lo que respecta a empresas y ciudadanos de rusia agregó el viceministro los líderes de la ue simplemente no toman en cuenta sus preocupaciones y derechos legítimos numerosos países condenaron la operación militar que rusia continúa desde el  de febrero en ucrania y activaron más de .780 sanciones individuales y sectoriales que buscan elevar el costo del conflicto para moscú por primera vez las restricciones incluyen la desconexión parcial de rusia del sistema swift la congelación de sus reservas internacionales el embargo sobre la importación de algunos agentes energéticos así como el cierre del espacio aéreo puertos y carreteras para transportistas rusos el  de mayo el consejo europeo acordó que su nuevo ya el sexto paquete de sanciones contra rusia incluirá el crudo y los productos petrolíferos exportados a los estados miembros con una excepción temporal para el petróleo crudo que se suministra por oleoducto el presidente del consejo europeo charles michel estimó que las nuevas sanciones afectarán con carácter inmediato el  del petróleo que la ue importa de rusia y el  de ese volumen para finales de  además el viceministro declaró que rusia tiene un plan de contingencia para evacuar una parte de sus diplomáticos desde países hostiles el diplomático constató que las autoridades de algunos países con elementos rusófobos muy activos no toman las debidas precauciones para prevenir ataques extremistas a legaciones de rusia a principios de marzo pasado el gobierno de rusia añadió decenas de nuevos nombres a la lista de países inamistosos que incluye en particular a australia canadá corea del sur estados unidos japón noruega nueva zelanda elreino unido singapur suiza taiwán los  miembros de la unión europea y ucrania el número de incidentes cerca de las embajadas rusas superó el millar en los primeros cinco meses del año en curso añadió ivanov n n desde el inicio de la operación militar especial en ucrania la cifra de diferentes manifestaciones y actos extremistas llevados a cabo cerca de las embajadas y las oficinas consulares rusas ha aumentado drásticamente si en  hubo alrededor de  incidentes de este tipo en los primeros cinco meses de este año su número ya ha superado los .000 y sigue creciendo dijo n nen este contexto señaló se tomaron medidas adicionales para reforzar la seguridad de las misiones diplomáticas rusas los empleados y miembros de sus familias n nrusia continuó responderá a cualquier acción hostil llevada a cabo contra sus misiones ,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,YES,NO,NO,YES
https://sputniknews.lat/20220531/gazprom-suspende-las-exportaciones-de-gas-a-la-empresa-holandesa-gasterra-por-falta-de-pago-1126039264.html,Gazprom suspende las exportaciones de gas a la empresa holandesa GasTerra por falta de pago,07:56 GMT 31.05.2022," la fecha de pago por el gas suministrado en abril venció el lunes  de mayo por su parte la agencia federal de redes alemana informó que la suspensión de los suministros de gas ruso a países bajos aún no ha afectado a alemania la suspensión anunciada de los suministros de gas a países bajos aún no ha tenido impacto alguno sobre la seguridad de abastecimiento de alemania ni tampoco de países bajos dice el informe diario de la entidad agrega que el abastecimiento de gas de alemania es estable la entidad también informa que los almacenes de gas de alemania están llenos a un ,4 por ciento lo que supera el índice del mismo período de los años  2017 2018 y  las exportaciones del gas ruso a través del gasoducto nord stream disminuyeron un  después de que gazprom suspendiera los suministros a la firma holandesa gasterra según el operador de la tubería el  de mayo los suministros por este gasoducto —la ruta principal de las exportaciones de gazprom a europa se estimaron en unos  millones de metros cúbicos por hora mientras que este  de mayo esta cifra descendió a  millones en total el  de mayo gazprom exportó a europa alrededor de  millones de metros cúbicos de gas a través de nord stream y si se mantiene el nivel actual de bombeo el  de mayo entregará  millones de metros cúbicos también disminuyó este  de mayo la solicitud para el bombeo del gas ruso a través del sistema de transporte ucraniano se redujo un  frente al día anterior desde ,26 millones de metros cúbicos hasta ,12 millones el  de abril entró en vigor la normativa rusa para el uso del rublo en el comercio del gas con los países hostiles incluidos en un listado de más de  estados entre ellos países bajos que impusieron sanciones a moscú por su operación militar en ucrania la compañía holandesa dejará de recibir alrededor de .000 millones de metros cúbicos de gas hasta el  de octubre de  fecha en la que termina el contrato en  países bajos cubrió un tercio de su consumo de gas con despachos desde rusia según los datos de gazprom hasta el momento bulgaria finlandia y polonia se habían quedado sin el gas proveniente de rusia por no querer pagar en rublos otras empresas energéticas de europa se acogieron al nuevo procedimiento de los pagos en rublos para seguir recibiendo el combustible desde rusia ",NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO
https://sputniknews.lat/20220531/borrell-la-ue-no-puede-impedir-la-venta-de-crudo-ruso-a-terceros-paises-1126040091.html,Borrell: la UE no puede impedir la venta de crudo ruso a terceros países,08:32 GMT 31.05.2022, la nueva restricción apuntó el jefe de la diplomacia europea tiene como objetivo disminuir los recursos financieros con que rusia alimenta su maquinaria bélica el  de mayo el consejo europeo acordó que su nuevo y sexto paquete de sanciones contra rusia incluirá el crudo y los productos petrolíferos exportados a los estados miembros con una excepción temporal para el petróleo crudo que se suministra por oleoducto el presidente del consejo europeo charles michel estimó el  de mayo que las nuevas sanciones afectarán con carácter inmediato al  del petróleo que la ue importa de rusia y el  de ese volumen para finales de  además borrell afirmó que en la lista de nuevas sanciones individuales de la ue que forman parte del sexto paquete de sanciones podría aparecer el nombre del patriarca de moscú y toda rusia kiril los líderes comunitarios acordaron el lunes imponer un embargo petrolero parcial contra rusia desbloqueando así el sexto paquete de sanciones que también incluye la desconexión del swift de tres bancos rusos incluido sberbank así como sanciones individuales el paquete de sanciones igualmente incluye el veto a la retransmisión en la ue de programas de tres canales de televisión rusos se espera que el nuevo paquete de sanciones se pueda acordar en los próximos días occidente impuso numerosas sanciones a moscú en respuesta a la operación militar especial rusa en ucrania el presidente vladímir putin declaró que la política de contención de rusia forma parte de la estrategia occidental a largo plazo y aseguró que las sanciones hicieron un serio daño a toda la economía mundial occidente persigue el objetivo de empeorar la vida de millones de personas señaló putin y agregó que con los acontecimientos que se desarrollan hoy se pone fin al dominio global de occidente en la política y la economía ,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknews.lat/20220531/un-diputado-ruso-afirma-que-el-embargo-petrolero-causara-unas-perdidas-minimas-1126041411.html,Un diputado ruso afirma que el embargo petrolero causará unas pérdidas mínimas,09:19 GMT 31.05.2022, morózov destacó que el petróleo ruso tiene otros consumidores en el mundo actualmente se vende a buen precio y entre los países europeos permanecerán aquellos que continuarán trabajando con rusia según el diputado rusia estaba lista para esa decisión sobre el embargo se estaba trabajando en la diversificación de los mercados morózov considera que es imposible aumentar rápidamente el volumen de petróleo producido en el mundo el  de mayo el consejo europeo acordó que su nuevo y sexto paquete de sanciones contra rusia incluirá el crudo y los productos petrolíferos exportados a los estados miembros con una excepción temporal para el petróleo crudo que se suministra por oleoducto el presidente del consejo europeo charles michel estimó que las nuevas sanciones afectarán con carácter inmediato al  del petróleo que la ue importa de rusia y el  de ese volumen para finales de  ,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
https://sputniknews.lat/20220531/energia-y-alimentos-aceleran-la-inflacion-anual-en-la-zona-euro-hasta-el-81-en-mayo-1126042623.html,"Energía y alimentos aceleran la inflación anual en la zona euro hasta el 8,1% en mayo",10:08 GMT 31.05.2022," el resultado preliminar es cuatro décimas superior al consenso de analistas consultados por el portal dailyfx que esperaban una inflación del ,7 anual al cierre de este mes en mayo de  la inflación anual se situó en el  estonia registró en mayo la tasa de inflación más alta del ,1 le siguen las otras dos naciones del báltico lituania y letonia con el ,5 y el ,4 respectivamente malta y francia están en el polo opuesto con el ,5 y el ,8 ",NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO
https://sputniknews.lat/20220531/bulgaria-recaba-exencion-del-embargo-petrolero-de-la-ue-a-rusia-hasta-finales-de-2024-1126042811.html,Bulgaria recaba exención del embargo petrolero de la UE a Rusia hasta finales de 2024,10:14 GMT 31.05.2022, el primer ministro agregó que esa exención es vital para bulgaria pues permitirá adaptar las refinerías sin que los precios se vean afectados por el cambio de la mezcla más temprano el primer ministro belga alexander de croo dijo que el acuerdo logrado en la primera jornada de la cumbre comunitaria en bruselas prevé una excepción de  meses para la república checa a fin de que pueda comprar ciertos productos refinados y otra para hungría para un corto período que se requiere para adaptar sus instalaciones de refinamiento este  de mayo el diario ceske noviny informó citando al primer ministro del país petr fiala que la república checa acordó aplazar la entrada en vigor del embargo al petróleo ruso por  meses debido a la gran dependencia de la república checa de los suministros de petróleo de rusia para nosotros la prohibición entrará en vigor  meses después cita el medio a fiala por su parte el primer ministro eslovaco eduard heger indicó que eslovaquia utilizará petróleo de rusia hasta que encuentre una alternativa para adquirir ese combustible en otro país los líderes de los países de la ue aprobaron el embargo del suministro de petróleo ruso pero hasta ahora eso solo se aplicará a los suministros de petroleros por mar se permiten temporalmente los suministros de petróleo de rusia a través de oleoductos en el caso de eslovaquia estamos hablando de suministros a través del oleoducto druzhba dijo heger en el marco de la cumbre de la ue en bruselas el jefe del gabinete destacó que la solicitud eslovaca en la reunión fue satisfecha y su país usará el petróleo ruso hasta el momento en que tenga una alternativa heger expresó su satisfacción por el hecho de que su homólogo húngaro viktor orban estuviera de acuerdo con la decisión de los participantes en la cumbre sobre el embargo del crudo de rusia lo más importante es que la unión europea ha mantenido su unidad en este momento eso es muy importante subrayó el político eslovaco el  de mayo el consejo europeo acordó que su nuevo y sexto paquete de sanciones contra rusia incluirá el crudo y los productos petrolíferos exportados a los estados miembros con una excepción temporal para el petróleo crudo que se suministra por oleoducto el presidente del consejo europeo charles michel estimó el  de mayo que las nuevas sanciones afectarán con carácter inmediato al  del petróleo que la ue importa de rusia y el  de ese volumen para finales de  el alto representante para asuntos exteriores y política de seguridad de la unión europea josep borrell admitió este  de mayo que el embargo comunitario no impide la venta del crudo ruso a terceros países pero opinó que rusia habiendo perdido a su cliente más importante tendrá menos recursos para alimentar la maquinaria bélica ,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
https://sputniknews.lat/20220531/primer-ministro-belga-la-ue-debe-hacer-una-pausa-en-las-sanciones-contra-rusia-1126043324.html,"Primer ministro belga: la UE debe ""hacer una pausa"" en las sanciones contra Rusia",10:39 GMT 31.05.2022, el primer ministro también señaló que la decisión sobre un embargo de gas ruso será aún más difícil de acordar en la primera jornada de la cumbre de la ue en bruselas los líderes acordaron introducir un embargo parcial de petróleo contra rusia desbloqueando así la implementación del sexto paquete de sanciones antirrusas este paquete también incluye la desconexión de tres bancos rusos del sistema swift la prohibición de que tres canales de televisión rusos emitan en la unión europea y varias sanciones individuales se espera que se acuerde un nuevo paquete de sanciones ya en los próximos días el  de mayo el consejo europeo acordó que el sexto paquete de sanciones contra rusia incluirá el petróleo crudo así como los productos petrolíferos suministrados desde rusia a los estados miembros con una excepción temporal para el petróleo crudo que se suministra por oleoducto la excepción se ha hecho específicamente para la república checa para que pueda comprar ciertos productos refinados durante  meses y para hungría para un corto período que se requiere para adaptar sus instalaciones de refinamiento según el primer ministro belga alexander de croo el presidente del consejo europeo charles michel estimó el  de mayo que las nuevas sanciones afectarán con carácter inmediato el  del petróleo que la ue importa de rusia y el  para finales de  el alto representante para asuntos exteriores y política de seguridad de la unión europea josep borrell admitió el de mayo que el embargo comunitario no impide la venta del crudo ruso a terceros países pero opinó que rusia habiendo perdido a su cliente más importante tendrá menos recursos para alimentar la maquinaria bélica occidente impuso numerosas sanciones a moscú en respuesta a la operación militar especial rusa en ucrania el presidente vladímir putin declaró que la política de contención de rusia forma parte de la estrategia occidental a largo plazo y aseguró que las sanciones hicieron un serio daño a toda la economía mundial occidente persigue el objetivo de empeorar la vida de millones de personas señaló putin y agregó que con los acontecimientos que se desarrollan hoy se pone fin al dominio global de occidente en la política y la economía ,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO
https://sputniknews.lat/20220531/cuanto-caera-el-pib-de-espana-en-caso-de-un-cierre-total-del-comercio-ue-rusia-1126044386.html,¿Cuánto caerá el PIB de España en caso de un cierre total del comercio UE-Rusia?,11:02 GMT 31.05.2022," en un artículo analítico para el boletín económico quintana analiza las consecuencias económicas de un cierre comercial total entre bruselas y moscú empezando con el corte del suministro de energía y terminando con escenarios más restrictivos de interrupción del resto de exportaciones e importaciones en el escenario considerado como más probable según quintana la reducción sería del ,1 del pib y el incremento del ,9 pp de la inflación desde una perspectiva sectorial las ramas más afectadas en españa serían aquellas que tienen un consumo de energía más intensivo como el transporte las manufacturas pesadas o la industria química en comparación con españa el impacto en las principales economías del área del euro y en los países del este de europa sería muy superior por su mayor dependencia energética de rusia así la contracción del pib en italia alemania y francia alcanzaría el  el ,6 y el ,5 respectivamente para el conjunto de la ue el descenso sería de entre el ,5 y el ,2 en el caso del pib y un incremento de entre ,6 pp y ,7 pp en la tasa de inflación un cierre total del comercio entre rusia y la ue implicaría para españa una contracción del pib del ,8 es decir una caída adicional de ,7 pp en relación con el escenario de cese de las importaciones energéticas por su parte la inflación sufriría un impacto total de ,4 pp medio punto porcentual por encima del escenario inicial quintana sugiere interpretar las cifras que presenta en su artículo como impactos esperados a lo largo del primer año después del cierre comercial a medio y largo plazo los efectos tenderían a reducirse gradualmente como reflejo de la capacidad de adaptación cada vez mayor de las economías europeas para reemplazar las importaciones rusas opina el investigador ",NO,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
