UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
RT en Español,@ActualidadRT,2022-01-05T17:48:00.000Z,"RT en Español
@ActualidadRT
·
Jan 5, 2022
Medios afiliados al gobierno, Rusia",Miles de personas han salido a la calle por todo Kazajistán para mostrar su rechazo por la subida de los precios del combustible en el país,,13,218,420,['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig'],https://twitter.com/ActualidadRT/status/1478785365330710530
RT en Español,@ActualidadRT,2022-01-05T19:12:13.000Z,"RT en Español
@ActualidadRT
·
Jan 5, 2022
Medios afiliados al gobierno, Rusia","¿Cómo se explica que en casi 40 años no se encontrara una vacuna contra el VIH-SIDA, pero en apenas meses surgieran varias contra el coronavirus? Y, sobre todo, ¿por qué no tiene nada de inexplicable? ",,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/media/FIXGhFeWUAIygrA?format=jpg&name=medium']",https://twitter.com/ActualidadRT/status/1478806561069875206
,,2022-01-05T23:43:37.000Z,,,,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/media/FIYE1f5WQAEn1tZ?format=jpg&name=medium']",https://twitter.com/ActualidadRT/status/1478874859929174016
,,2022-01-05T22:51:25.000Z,,,,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1478861654133817349/pu/img/OSkonXU_E6uXqA10.jpg']",https://twitter.com/ActualidadRT/status/1478861722719035394
,,2022-01-05T21:41:00.000Z,,,▪,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1478842728494551041/pu/img/er7bixQTWStdFFEb.jpg']",https://twitter.com/ActualidadRT/status/1478844001608519699
,,2022-01-05T17:08:00.000Z,,,,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1478756848677310465/pu/img/jfD-z-TelPvfy_B5.jpg']",https://twitter.com/ActualidadRT/status/1478775298938355717
,,2022-01-05T16:37:00.000Z,,,,4,41,57,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/media/FIWIL3LWYAco419.jpg']",https://twitter.com/ActualidadRT/status/1478767497373495301
RT en Español,@ActualidadRT,2022-01-05T19:31:26.000Z,"RT en Español
@ActualidadRT
·
Jan 5, 2022
Medios afiliados al gobierno, Rusia"," Corea del Norte es uno de los pocos países del mundo con la tradición de embalsamar a sus líderes fallecidos. El Palacio del Sol de Kumsusan solía ser una residencia, pero se convirtió en un mausoleo. Vea el video para descubrir lo que hay en su interior",,1,39,75,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/media/FIVuHP_WUAYT-6d.jpg']",https://twitter.com/ActualidadRT/status/1478811397559664645
RT en Español,@ActualidadRT,2022-01-05T21:50:25.000Z,"RT en Español
@ActualidadRT
·
Jan 5, 2022
Medios afiliados al gobierno, Rusia",,,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1478846359465832451/pu/img/wbuaQdtZUdL_i7o7.jpg']",https://twitter.com/ActualidadRT/status/1478846371532845062
,,2022-01-05T20:43:00.000Z,,,,,,,['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig'],https://twitter.com/ActualidadRT/status/1478829405409525760
,,2022-01-05T20:28:22.000Z,,,,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1478825709732835328/pu/img/RLfr2lIcOyBqqu1_.jpg']",https://twitter.com/ActualidadRT/status/1478825722097582086
,,2022-01-05T16:52:00.000Z,,,,,,,"['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1478756620746338311/pu/img/OFJq4N3VCf66CMho.jpg']",https://twitter.com/ActualidadRT/status/1478771272402276355
,,2022-01-05T21:19:04.000Z,,,,,,,['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig'],https://twitter.com/ActualidadRT/status/1478838482827194372
,,2022-01-05T19:31:47.000Z,,,,,,,['https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig'],https://twitter.com/ActualidadRT/status/1478811483094061060
