UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Embajada de Rusia en Chile,@EmbRusChile,2022-01-03T17:49:37.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Jan 3, 2022
Organización gubernamental de Rusia","María #Zajárova, Vocera de 
@mae_rusia
: ""Rusia  considera firmemente que no puede haber ganadores en una guerra nuclear y que ésta nunca debe librarse"".
Hoy, por iniciativa de Rusia, los 5 Estados Nucleares publicaron una Declaración previa a la Conferencia de Revisión de #NPT.",💬 ❗ 🔗,,1,,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig']",https://twitter.com/EmbRusChile/status/1478060997596393473
Embajada de Rusia en Chile,@EmbRusChile,2022-02-19T14:00:02.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Feb 19, 2022
Organización gubernamental de Rusia","María Zajárova: ¿Han notado cuán abruptamente toda la comunidad occidental se ha olvidado de los derechos humanos? 

https://is.gd/jgOT7X",⚡ ➡,3,53,119,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusChile/status/1495035449852801032
Embajada de Rusia en Chile,@EmbRusChile,2022-02-17T01:33:52.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Feb 16, 2022
Organización gubernamental de Rusia","Nadie:
Absolutamente nadie:
Los medios occidentales:",,,,1,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/tweet_video_thumb/FLww2YAXMA0T5QB.jpg']",https://twitter.com/EmbRusChile/status/1494122896318472196
Embajada de Rusia en Chile,@EmbRusChile,2022-02-28T02:27:05.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Feb 27, 2022
Organización gubernamental de Rusia","Vamos a ayudarles a desenmascarar al #NeoNazismo.
Otro aspecto de la ""rica cultura"" política del régimen en Kiev.
#Desnazificación #RusiaUcrania",⚠,219,501,859,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusChile/status/1498122553558241280
Embajada de Rusia en Chile,@EmbRusChile,2022-02-26T14:53:49.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Feb 26, 2022
Organización gubernamental de Rusia","Con la desinformación total de las corporaciones mediáticas occidentales, hay un camino hacia la verdad -  escuchar las opiniones de los habitantes de #Donbass 

Música:http://Tunetank.com
Espíritu: #Desnazificación",,84,448,687,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1497584602663247874/pu/img/YHnUMjubkD9nkLZl.jpg']",https://twitter.com/EmbRusChile/status/1497585701403213824
Embajada de Rusia en Chile,@EmbRusChile,2022-02-28T04:02:07.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Feb 27, 2022
Organización gubernamental de Rusia","Replying to 
@GabrielBoric
 and 
@ZelenskyyUa",,22,23,52,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusChile/status/1498146470767198214
Embajada de Rusia en Chile,@EmbRusChile,2022-02-25T21:44:26.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Feb 25, 2022
Organización gubernamental de Rusia","""El objetivo es proteger a la gente que lleva 8 años sometida a ultraje y a genocidio por parte del régimen kievita. Para ello nos propondremos desmilitarizar y acabar con el nazismo en Ucrania""
El presidente de Rusia, Vladimir Putin

#UcraniaRusia #lalínearoja",⚠,116,99,219,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusChile/status/1497326646168281088
Embajada de Rusia en Chile,@EmbRusChile,2022-03-02T16:50:15.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Mar 2, 2022
Organización gubernamental de Rusia"," años de genocidio en Donetsk y Lugansk 
 años de nuestros intentos de diálogo
 años de desprecio absoluto de nuestras señales sobre el neonazismo del estado en #Kiev.
¡basta!
#Desnazificación",🖐,58,51,83,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/ext_tw_video_thumb/1499064424954576903/pu/img/nFVo9OO-FwAZpK1p.jpg']",https://twitter.com/EmbRusChile/status/1499064553593716736
Embajada de Rusia en Chile,@EmbRusChile,2022-03-06T00:53:00.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Mar 5, 2022
Organización gubernamental de Rusia","¿Qué es el neonazismo ucraniano?

Por ejemplo, posar con armas americanas y británicas en jardines de infancia.

¡Basta ya!
#Desnazificación",➡,2,23,36,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusChile/status/1500273205545680898
Embajada de Rusia en Chile,@EmbRusChile,2022-03-06T16:47:23.000Z,"Embajada de Rusia en Chile
@EmbRusChile
·
Mar 6, 2022
Organización gubernamental de Rusia","¿Qué es el neonazismo ucraniano?

Por ejemplo, usar escuelas para esconderse y después apuntar con el dedo a Rusia por ""atacar edificios civiles""

¡Basta ya!
#Desnazificacion",➡,10,22,27,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusChile/status/1500513383673651205
