UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-13T13:36:31.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 13, 2022
Organización gubernamental de Rusia",Rusia donó a Cuba la ayuda humanitaria que incluye los trajes de protección médicos multiusos y jeringuillas de inyección de peso total de casi 24 toneladas ,🤝,9,45,94,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI_GmPsXoAcMa-o?format=jpg&name=small', 'https://pbs.twimg.com/media/FI_GmjtX0AMFe_w?format=jpg&name=small', 'https://pbs.twimg.com/media/FI_GmzOXIAYFc_6?format=jpg&name=small', 'https://pbs.twimg.com/media/FI_Gm8qWYAAHatJ?format=jpg&name=small']",https://twitter.com/EmbRusCuba/status/1481621182004838400
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-14T06:13:18.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 13, 2022
Organización gubernamental de Rusia","Riabkov sobre la posibilidad de desplegar infraestructura militar rusa en Cuba y Venezuela: ""No quiero confirmar ni descartar nada"" - RT",,3,5,7,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/card_img/1646563349998469122/msywM3aJ?format=jpg&name=medium']",https://twitter.com/EmbRusCuba/status/1481872028982468609
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-25T05:52:15.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 24, 2022
Organización gubernamental de Rusia","Rusia donó a Cuba la ayuda humanitaria que incluye medicamentos, los trajes de protección multiusos y jeringuillas de inyección de peso total más de 83 toneladas llevadas a La Habana por 5 aviones a partir del pasado 31 de diciembre
@mae_rusia",🤝,14,71,133,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ7PaW1XEAIounn?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FJ7PbGPXsAAybpS?format=jpg&name=900x900']",https://twitter.com/EmbRusCuba/status/1485852999960481795
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-23T17:56:37.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 23, 2022
Organización gubernamental de Rusia","Rusia seguirá señalando la deficiencia del bloqueo impuesto por EEUU a Cuba. Junto con los países afines, aumentaremos la presión sobre los iniciadores del bloqueo hasta el levantamiento total de las sanciones ilegale

https://is.gd/u7cAaR 
#EliminaElBloqueo",,4,9,9,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJziB-KXMAYDK4k?format=jpg&name=medium']",https://twitter.com/EmbRusCuba/status/1485310517904355333
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-24T21:36:59.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 24, 2022
Organización gubernamental de Rusia","Los líderes de Rusia y Cuba discutieron por teléfono la coordinación ulterior entre los dos países en la palestra internacional en el marco de la asociación estratégica. Presidente 
@DiazCanelB
 agradeció la ayuda humanitaria rusa brindada a la República.",,2,4,13,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FJ5d9n1XoAcfpK5?format=jpg&name=small']",https://twitter.com/EmbRusCuba/status/1485728360814845961
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-27T18:49:22.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 27, 2022
Organización gubernamental de Rusia","El 27 de enero, en Rusia se celebra una fecha importante en la historia de la #GranGuerraPatria: el Día de levantamiento del sitio nazi de Leningrado",,,5,18,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKIUdLOWUAoTFhx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FKIUdMiWYAQ4KVU?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FKIUdPjX0AIYcvF?format=jpg&name=360x360']",https://twitter.com/EmbRusCuba/status/1486773342686306306
Embajada de Rusia en Cuba,@EmbRusCuba,2022-01-28T17:52:30.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Jan 28, 2022
Organización gubernamental de Rusia","Serguéi #Lavrov: Si depende de Rusia no habrá guerra. Rusia no quiere guerras, pero tampoco permitimos que se ignoren y se pisoteen groseramente nuestros intereses.",,1,6,13,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKNRB5LWUAowqnD?format=jpg&name=small']",https://twitter.com/EmbRusCuba/status/1487121420719206405
Embajada de Rusia en Cuba,@EmbRusCuba,2022-02-03T21:10:52.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Feb 3, 2022
Organización gubernamental de Rusia","Rechazamos enérgicamente el #bloqueo económico, comercial y financiero impuesto a #Cuba por los EE.UU. hace 60 años. Seguimos pronunciándonos por poner fin al bloqueo, principal obstáculo para el desarrollo económico y social de la Isla.",,10,46,71,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKs3_C9XMAM4osp?format=jpg&name=medium']",https://twitter.com/EmbRusCuba/status/1489345667197722624
Embajada de Rusia en Cuba,@EmbRusCuba,2022-02-09T14:02:43.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Feb 9, 2022
Organización gubernamental de Rusia","María Zajárova:
""Continúa la saga sobre los ataques acústicos contra diplomáticos de EEUU. Durante varios años, tanto los cubanos como los rusos han sido acusados del ""síndrome de La Habana""

Ahora 
@StateDept
 culpa a los grillos.
 https://is.gd/Bi1n6u",,1,5,9,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FLKPhLOWQAYJXUi?format=jpg&name=small']",https://twitter.com/EmbRusCuba/status/1491412245334880259
Embajada de Rusia en Cuba,@EmbRusCuba,2022-02-10T04:52:45.000Z,"Embajada de Rusia en Cuba
@EmbRusCuba
·
Feb 9, 2022
Organización gubernamental de Rusia","Felicitación del Ministro de Asuntos Exteriores de la Federación de Rusia, Serguéi #Lavrov, con motivo del Día del Diplomático, Moscú, 10 de febrero de 2022
 https://bit.ly/3uMqH10",➡,2,1,14,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FLNbP19WQAUIygr?format=jpg&name=medium']",https://twitter.com/EmbRusCuba/status/1491636231314235400
