UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Embajada de Rusia en México,@EmbRusiaMexico,2022-01-11T21:41:56.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Jan 11, 2022
Organización gubernamental de Rusia","El 11 de enero se celebra en #Rusia  el Día de zonas protegidas y parques nacionales
Aquí les compartimos el top 10 de ellos que vale la pena visitar: https://es.rbth.com/viajes/80382-10-parque-naturales-rusia-deber%C3%ADas…",📅 🌲,3,23,59,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FI2h6plVUAAzeUK?format=jpg&name=small', 'https://pbs.twimg.com/media/FI2h7tkVQAA_afc?format=jpg&name=small', 'https://pbs.twimg.com/media/FI2h8TpVkAAwunU?format=jpg&name=small', 'https://pbs.twimg.com/media/FI2iLi4UUAEKj5S?format=jpg&name=small']",https://twitter.com/EmbRusiaMexico/status/1481018564949676036
Embajada de Rusia en México,@EmbRusiaMexico,2022-01-27T16:06:43.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Jan 27, 2022
Organización gubernamental de Rusia"," Hoy conmemoramos el aniversario de levantamiento del sitio de #Leningrado, hoy San Petersburgo. El asedio duró  días y llevó la vida de más de 1,2 millones de personas, víctimas de bombardeos, desnutrición y congelación. La ciudad nunca se rindió ",🕯 🎖,7,59,181,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKHtueTUYAUk7na?format=jpg&name=medium']",https://twitter.com/EmbRusiaMexico/status/1486732409882120205
Embajada de Rusia en México,@EmbRusiaMexico,2022-01-27T16:46:15.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Jan 27, 2022
Organización gubernamental de Rusia"," También hoy se conmemora el Día Internacional de Conmemoración en Memoria de las Víctimas del #Holocausto establecido por la Asamblea General de la 
@ONU_es
. El 27 de enero de 1945 los soldados del Ejército Rojo liberaron el campo de exterminio nazi de #Auschwitz 
@MuseoMyT",📅,,47,119,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKH3LwCVUAQtYg5?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FKH3M9nVEAIwrZ1?format=jpg&name=small', 'https://pbs.twimg.com/media/FKH3OEVVkAUeyHS?format=jpg&name=small']",https://twitter.com/EmbRusiaMexico/status/1486742358578241537
Embajada de Rusia en México,@EmbRusiaMexico,2022-01-29T22:14:33.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Jan 29, 2022
Organización gubernamental de Rusia"," Hoy el equipo de nuestra Embajada participó en el campeonato de #fútbol entre las misiones diplomáticas acreditadas en #México. Nuestros saludos a los organizadores 
@QatarembassyMex
  

@mjkuwari
 @m_ebrard
 @SRE_mx",⚽,,23,191,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKTWiCQXwAU6LUg?format=jpg&name=medium']",https://twitter.com/EmbRusiaMexico/status/1487549754171174918
Embajada de Rusia en México,@EmbRusiaMexico,2022-01-31T17:51:18.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Jan 31, 2022
Organización gubernamental de Rusia"," Estimados lectores! Les invitamos a leer el material de 
@ChilangoCom
 sobre las razones por las que la vacuna #Sputnik  podría protegerles en la aplicación del refuerzo contra la variante #Omicron 

 https://chilango.com/noticias/efectividad-del-refuerzo-de-sputnik/…",📃 💉 🦠 🔗,8,69,216,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKctTAtVEAQhPNR?format=jpg&name=medium']",https://twitter.com/EmbRusiaMexico/status/1488208281310941184
Embajada de Rusia en México,@EmbRusiaMexico,2022-02-02T18:15:00.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Feb 2, 2022
Organización gubernamental de Rusia"," “No hemos visto ningunos tanques por aquí”

 Les ofrecemos la traducción del artículo en el diario ruso 
@kommersant
 sobre cómo perciben la tirantez internacional los rusos que viven en la frontera con #Ucrania. Un análisis preciso e imparcial 

 https://facebook.com/EmbRusiaMexico/posts/5156194087747760…",‼ 📰 ☝ ➡,4,20,57,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKnFbkhUcAAKa1r?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FKnFbkiVgAIRXyv?format=jpg&name=small', 'https://pbs.twimg.com/media/FKnFbldVcAgprgh?format=jpg&name=small']",https://twitter.com/EmbRusiaMexico/status/1488939020771991552
Embajada de Rusia en México,@EmbRusiaMexico,2022-02-04T14:37:03.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Feb 4, 2022
Organización gubernamental de Rusia","El equipo olímpico de #Rusia, presente en la ceremonia de apertura de los Juegos Olímpicos de Invierno #Beijing2022 
Con orgullo y grandes expectativas, ¡deseamos muchos éxitos a nuestros atletas!
#wewillROCyou",🔥 🔥 🔥 📹,4,22,110,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/profile_images/1413405366956736515/YACHdGGv_normal.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1489595047628742667/pu/img/kHGdd2JE4F7eGEyn.jpg']",https://twitter.com/EmbRusiaMexico/status/1489608946377576451
Embajada de Rusia en México,@EmbRusiaMexico,2022-02-02T22:30:44.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Feb 2, 2022
Organización gubernamental de Rusia","La Secretaría de Cultura  
@cultura_mx
 y 
@mexrsgov
  firmaron un plan de trabajo conjunto para realizar actividades gratuitas de índole cultural para este . 

 Conocer más en 
@El_Universal_Mx
: 
https://eluniversal.com.mx/cultura/firman-mexico-y-rusia-acuerdo-para-apoyar-trabajadores-de-cultura…",📜 📌,5,23,96,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKoANNeVIAAN8xo?format=jpg&name=medium']",https://twitter.com/EmbRusiaMexico/status/1489003377308495873
Embajada de Rusia en México,@EmbRusiaMexico,2022-02-05T02:05:06.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Feb 4, 2022
Organización gubernamental de Rusia"," Con profunda tristeza nos enteramos de fallecimiento de Garduño Núñez, el último piloto superviviente del #Escuadrón201, quien como millones de soldados y oficiales del Ejército Rojo, luchaba contra un enemigo feroz y cruel durante la #SegundaGuerraMundial [1/2]",🕯,50,770,"2,325","['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKzEjiXXsAcXcQm?format=jpg&name=900x900', 'https://pbs.twimg.com/media/FKzEjiYXsAEBsHP?format=jpg&name=small']",https://twitter.com/EmbRusiaMexico/status/1489782101591400454
Embajada de Rusia en México,@EmbRusiaMexico,2022-02-06T03:39:08.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Feb 5, 2022
Organización gubernamental de Rusia"," ¡Queridos amigos mexicanos! Muchos quieren visitar a #Rusia, pero tienen dudas  sobre el proceso de trámite de la #visa. Por eso nuestros compañeros de la Sección Consular elaboraron este cómic, respondiendo de  manera divertida a las preguntas más frecuentes ",👆 🛂 🤔 😉,30,234,645,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FK4jmTmXwAMXtv9?format=jpg&name=medium']",https://twitter.com/EmbRusiaMexico/status/1490168153757863937
Embajada de Rusia en México,@EmbRusiaMexico,2022-02-05T02:07:16.000Z,"Embajada de Rusia en México
@EmbRusiaMexico
·
Feb 4, 2022
Organización gubernamental de Rusia",Expresamos nuestras sinceras condolencias a los familiares del héroe mexicano. ¡Descanse en paz! ,🙏,4,79,372,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbRusiaMexico/status/1489782645970116613
