UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Embaixada da Rússia,@EmbaixadaRusPt,2022-01-27T17:02:58.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Jan 27, 2022
Rússia organização do governo","Parte 1...4:
https://portugal.mid.ru/documents/22542893/30304003/p1.pdf…
https://portugal.mid.ru/documents/22542893/30304003/p2.pdf…
https://portugal.mid.ru/documents/22542893/30304003/p3.pdf…
https://portugal.mid.ru/documents/22542893/30304003/p4.pdf…",,9,2,5,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKH8EuoXIAA9vkq?format=jpg&name=900x900']",https://twitter.com/EmbaixadaRusPt/status/1486746565251411975
Embaixada da Rússia,@EmbaixadaRusPt,2022-01-27T11:43:59.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Jan 27, 2022
Rússia organização do governo","No contexto de comemoração, a 27 de janeiro, do Dia Internacional em Memória das Vítimas do Holocausto leia o artigo do Embaixador Kamynin ""Preserve the Memory so that the Horrors of Holocaust Never Repeat"" no portal ""The Portuguese Jewish News""
https://portuguesejewishnews.com/news/articles/preserve-the-memory-so-that-the-horrors-of-holocaust-never-repeat/…",,1,2,6,"['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/FKGzB0kWQAEWDim?format=jpg&name=medium']",https://twitter.com/EmbaixadaRusPt/status/1486666292312645632
Embaixada da Rússia,@EmbaixadaRusPt,2022-01-27T17:02:56.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Jan 27, 2022
Rússia organização do governo","No Dia Internacional em Memória das Vítimas do Holocausto, venham conhecer a exposição ""Não está sujeito ao esquecimento"" sobre os crimes dos nazistas e seus cúmplices contra população civil durante a Segunda Guerra Mundial",,4,1,3,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1486746558209085447
Embaixada da Rússia,@EmbaixadaRusPt,2022-01-27T17:02:57.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Jan 27, 2022
Rússia organização do governo","Esta exposição temática foi preparada pela Sociedade Histórica da Rússia em estreita articulação com a fundação ""História da Pátria"" e a Agência Federal de Arquivos",,2,1,3,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1486746560427962369
Embaixada da Rússia,@EmbaixadaRusPt,2022-02-24T15:09:44.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Feb 24, 2022
Rússia organização do governo",Discurso do Presidente da Rússia Vladimir Putin acerca da operação militar na Ucrânia... https://portugal.mid.ru/pt_PT/home/-/asset_publisher/P6kOccl0Cegh/content/obrasenie-prezidenta-rossijskoj-federacii…,,,3,2,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1496864928539553805
Embaixada da Rússia,@EmbaixadaRusPt,2022-02-22T15:19:24.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Feb 22, 2022
Rússia organização do governo",Declaração do Ministério dos Negócios Estrangeiros da Rússia sobre o reconhecimento da independência das Repúblicas Populares de Donetsk e de Lugansk https://portugal.mid.ru/pt_PT/home/-/asset_publisher/P6kOccl0Cegh/content/zaavlenie-mid-rossii-o-priznanii-nezavisimosti-doneckoj-i-luganskoj-narodnyh-respublik…,,17,2,7,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1496142588474183682
Embaixada da Rússia,@EmbaixadaRusPt,2022-03-16T19:45:17.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Mar 16, 2022
Rússia organização do governo","Agradecemos aos lisboetas e habitantes de outras cidades de Portugal pelo envio à nossa missão diplomática de palavras de condolência por ocasião do ataque à cidade de Donetsk, conduzida pelos nacionalistas ucranianos com o uso do míssil de fragmentação “Tochka-U”,",,1,11,22,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1504182031093280774
Embaixada da Rússia,@EmbaixadaRusPt,2022-03-16T19:45:18.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Mar 16, 2022
Rússia organização do governo",Ocidentais que têm ignorado cinicamente os crimes de guerra cometidos pelo regime de Kiev no Donbass.,,,5,17,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1504182035128197121
Embaixada da Rússia,@EmbaixadaRusPt,2022-03-16T19:45:17.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Mar 16, 2022
Rússia organização do governo","que causou numerosas vítimas.
Emociona-nos profundamente esta manifestação de solidariedade da parte dos cidadãos portugueses, que continuam a avaliar a situação com objetividade apesar do total bloqueio mediático pelos meios de comunicação social",,1,4,17,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1504182033094004738
Embaixada da Rússia,@EmbaixadaRusPt,2022-03-24T17:37:57.000Z,"Embaixada da Rússia
@EmbaixadaRusPt
·
Mar 24, 2022
Rússia organização do governo","Faz-se hoje 23 anos desde o início da agressão da NATO contra a Jugoslávia, empreendida sem qualquer justificação e sem autorização do Conselho de Segurança da ONU... https://portugal.mid.ru/pt_PT/home/-/asset_publisher/P6kOccl0Cegh/content/k-godovsine-bombardirovok-ugoslavii…",,,3,12,['https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig'],https://twitter.com/EmbaixadaRusPt/status/1507049091397787653
